Number,Word,Freq 1,Freq 1 (per mill),Freq 2,Freq 2 (per mill),+/-,Stat 1.,Stat 2.
7,Obligatorisch,1431,14.57,3,0.04,+,8.69,1745.22
8,durchschnittlich,4915,50.05,12,0.14,+,8.47,5976.27
9,sog.,1184,12.06,3,0.04,+,8.42,1438.49
14,-j-,1586,16.15,5,0.06,+,8.1,1916.89
15,benn,931,9.48,3,0.04,+,8.07,1124.59
16,füt,927,9.44,3,0.04,+,8.06,1119.63
17,Franko,6555,66.75,22,0.26,+,8.01,7909.5
18,Niederste,1779,18.12,6,0.07,+,8.0,2146.28
19,Jenatsch,2360,24.03,8,0.09,+,8.0,2846.83
21,baë,1707,17.38,6,0.07,+,7.94,2057.03
22,Bevers,2778,28.29,10,0.12,+,7.91,3345.36
24,eidg.,1361,13.86,5,0.06,+,7.88,1637.97
25,Soeben,1319,13.43,5,0.06,+,7.83,1585.94
26,Runkelrüben,705,7.18,3,0.04,+,7.67,844.56
28,bth,887,9.03,4,0.05,+,7.58,1060.49
30,-f-,853,8.69,4,0.05,+,7.53,1018.42
31,fid,838,8.53,4,0.05,+,7.5,999.87
33,Jahresversammlung,605,6.16,3,0.04,+,7.45,720.84
32,lehrerbesoldungen,1009,10.28,5,0.06,+,7.45,1202.22
36,AbonnementSpreis,1527,15.55,8,0.09,+,7.37,1815.51
37,komite,754,7.68,4,0.05,+,7.35,896.01
38,Brusio,1882,19.17,10,0.12,+,7.35,2236.33
40,Kantonsschnle,562,5.72,3,0.04,+,7.34,667.68
39,zugespitzt,750,7.64,4,0.05,+,7.34,891.07
42,Realta,541,5.51,3,0.04,+,7.29,641.73
41,1855.,724,7.37,4,0.05,+,7.29,858.94
43,>52,1740,17.72,10,0.12,+,7.23,2060.9
44,nad,1363,13.88,8,0.09,+,7.2,1612.91
45,Narbe,485,4.94,3,0.04,+,7.13,572.59
48,Grau¬,480,4.89,3,0.04,+,7.11,566.42
47,Hitz,1600,16.29,10,0.12,+,7.11,1888.07
49,Mfl,795,8.1,5,0.06,+,7.1,937.86
50,Korr,469,4.78,3,0.04,+,7.08,552.85
54,gefleckt,462,4.7,3,0.04,+,7.06,544.21
52,selbständigen,464,4.73,3,0.04,+,7.06,546.68
53,Präposition,617,6.28,4,0.05,+,7.06,726.85
51,RepS,619,6.3,4,0.05,+,7.06,729.32
55,Allemann,460,4.68,3,0.04,+,7.05,541.75
56,Lehrerschaft,3521,35.86,23,0.27,+,7.05,4146.44
58,Veröffentlichung,594,6.05,4,0.05,+,7.0,698.49
59,Geschichtsunterricht,442,4.5,3,0.04,+,6.99,519.55
61,landwirthschaftlichcn,438,4.46,3,0.04,+,6.98,514.62
60,ermöglichen,585,5.96,4,0.05,+,6.98,687.39
62,Lehrerverein,1013,10.32,7,0.08,+,6.97,1189.68
64,Thalschaften,709,7.22,5,0.06,+,6.94,831.81
63,geselliges,996,10.14,7,0.08,+,6.94,1168.73
65,Felsberg,1128,11.49,8,0.09,+,6.93,1323.01
66,Jnterlaken,1959,19.95,14,0.16,+,6.92,2296.8
67,Realschüler,417,4.25,3,0.04,+,6.91,488.74
68,Gesammtschule,403,4.1,3,0.04,+,6.86,471.49
71,Hauptst,533,5.43,4,0.05,+,6.85,623.32
69,energisch,534,5.44,4,0.05,+,6.85,624.55
70,Persönlichkeiten,534,5.44,4,0.05,+,6.85,624.55
72,Regl,385,3.92,3,0.04,+,6.79,449.33
73,Eisenbahnen,1265,12.88,10,0.12,+,6.77,1475.2
75,OberengadinS,377,3.84,3,0.04,+,6.76,439.48
76,Schanfigg,1002,10.2,8,0.09,+,6.76,1167.85
74,romanischen,3142,32.0,25,0.29,+,6.76,3662.8
77,bespricht,857,8.73,7,0.08,+,6.73,997.57
79,1865.,609,6.2,5,0.06,+,6.72,708.68
78,altdeutschen,733,7.46,6,0.07,+,6.72,853.13
80,beren,362,3.69,3,0.04,+,6.71,421.03
82,Vorlage,481,4.9,4,0.05,+,6.7,559.32
81,ermitteln,603,6.14,5,0.06,+,6.7,701.31
83,Tester,475,4.84,4,0.05,+,6.68,551.94
84,3eit,589,6.0,5,0.06,+,6.67,684.09
86,1844.,939,9.56,8,0.09,+,6.67,1090.36
87,Wiederholungskurs,469,4.78,4,0.05,+,6.66,544.57
88,eid¬,349,3.55,3,0.04,+,6.65,405.04
89,ge*,345,3.51,3,0.04,+,6.64,400.13
90,kultivirt,345,3.51,3,0.04,+,6.64,400.13
91,Lehrergehalte,345,3.51,3,0.04,+,6.64,400.13
92,Ganzoni,340,3.46,3,0.04,+,6.62,393.98
94,Stadtvogt,452,4.6,4,0.05,+,6.61,523.67
93,Prättigau,1583,16.12,14,0.16,+,6.61,1834.09
98,Anschauungsweise,336,3.42,3,0.04,+,6.6,389.07
97,konfessionellen,899,9.16,8,0.09,+,6.6,1041.2
100,Elementarklasse,332,3.38,3,0.04,+,6.58,384.15
99,Wat,1219,12.41,11,0.13,+,6.58,1410.61
103,Akkusativ,329,3.35,3,0.04,+,6.57,380.47
102,Konolsingen,439,4.47,4,0.05,+,6.57,507.7
101,derartigen,879,8.95,8,0.09,+,6.57,1016.63
106,Real¬,327,3.33,3,0.04,+,6.56,378.01
105,Vordergrund,436,4.44,4,0.05,+,6.56,504.02
104,Bezirks¬,654,6.66,6,0.07,+,6.56,756.02
107,Vazerol,430,4.38,4,0.05,+,6.54,496.65
109,Armenordnung,320,3.26,3,0.04,+,6.53,369.42
108,bündnerischen,4055,41.29,38,0.45,+,6.53,4681.38
110,Nebenwinkel,316,3.22,3,0.04,+,6.51,364.51
111,Orchester,315,3.21,3,0.04,+,6.5,363.28
115,Schützenfest,415,4.23,4,0.05,+,6.49,478.23
112,Kasus,520,5.3,5,0.06,+,6.49,599.33
114,Bezirksschulräthe,830,8.45,8,0.09,+,6.49,956.47
117,Längenfuß,410,4.18,4,0.05,+,6.47,472.1
116,>/z,411,4.19,4,0.05,+,6.47,473.33
119,Sternschnuppen,305,3.11,3,0.04,+,6.46,351.01
118,Konzession,407,4.14,4,0.05,+,6.46,468.42
121,Dollars,301,3.07,3,0.04,+,6.44,346.1
120,Schulblätter,1307,13.31,13,0.15,+,6.44,1503.04
123,Ehrenmitglieder,300,3.06,3,0.04,+,6.43,344.87
124,stile,300,3.06,3,0.04,+,6.43,344.87
122,durchscheinend,400,4.07,4,0.05,+,6.43,459.83
125,Regirung,1693,17.24,17,0.2,+,6.43,1945.71
126,lehrerseminar,1288,13.12,13,0.15,+,6.42,1479.74
127,Churs,394,4.01,4,0.05,+,6.41,452.47
128,Kantonstheils,391,3.98,4,0.05,+,6.4,448.79
129,durchschnittliche,781,7.95,8,0.09,+,6.4,896.36
131,BisthnmS,291,2.96,3,0.04,+,6.39,333.84
132,Msgr,291,2.96,3,0.04,+,6.39,333.84
130,behaart,1070,10.9,11,0.13,+,6.39,1227.75
134,18Z7,286,2.91,3,0.04,+,6.37,327.71
133,Romanische,2009,20.46,21,0.25,+,6.37,2302.55
135,Seminarlehrer,569,5.79,6,0.07,+,6.36,651.74
136,PrüfungS,282,2.87,3,0.04,+,6.35,322.81
137,Ausstellers,282,2.87,3,0.04,+,6.35,322.81
140,Kollekte,468,4.77,5,0.06,+,6.34,535.56
138,Besprechungen,939,9.56,10,0.12,+,6.34,1074.8
139,Evang.,1217,12.39,13,0.15,+,6.34,1392.71
141,Bundesversammlung,1578,16.07,17,0.2,+,6.33,1804.75
142,Schweizer¬,278,2.83,3,0.04,+,6.32,317.91
143,»iel,276,2.81,3,0.04,+,6.31,315.46
145,Lehrplanes,274,2.79,3,0.04,+,6.3,313.01
147,Aufsichtsbehörden,364,3.71,4,0.05,+,6.3,415.71
149,Rodels,364,3.71,4,0.05,+,6.3,415.71
146,-52,365,3.72,4,0.05,+,6.3,416.94
144,abzu¬,457,4.65,5,0.06,+,6.3,522.09
148,balb,546,5.56,6,0.07,+,6.3,623.57
152,minar,269,2.74,3,0.04,+,6.28,306.89
150,ftch,270,2.75,3,0.04,+,6.28,308.11
151,betreffs,2159,21.99,24,0.28,+,6.28,2463.67
154,Sester,265,2.7,3,0.04,+,6.26,301.99
153,RechenschaftSbericht,355,3.62,4,0.05,+,6.26,404.69
155,Fleischig,352,3.58,4,0.05,+,6.25,401.02
156,entgegenzutreten,262,2.67,3,0.04,+,6.24,298.32
159,Violine,260,2.65,3,0.04,+,6.23,295.87
157,Wortstellung,348,3.54,4,0.05,+,6.23,396.13
160,-7^,433,4.41,5,0.06,+,6.23,492.71
158,verantwortliche,434,4.42,5,0.06,+,6.23,493.93
162,Konzert,258,2.63,3,0.04,+,6.22,293.42
161,Schreibübungen,259,2.64,3,0.04,+,6.22,294.65
163,naturgeschichtlichen,257,2.62,3,0.04,+,6.21,292.2
164,verwerthen,257,2.62,3,0.04,+,6.21,292.2
166,Unterrichtszeit,599,6.1,7,0.08,+,6.21,680.99
165,Monatschronik,1027,10.46,12,0.14,+,6.21,1167.58
168,Waten,593,6.04,7,0.08,+,6.2,673.65
167,Bisthnm,594,6.05,7,0.08,+,6.2,674.87
169,Remüs,588,5.99,7,0.08,+,6.18,667.53
170,Substantiv,588,5.99,7,0.08,+,6.18,667.53
171,Lesestücke,754,7.68,9,0.11,+,6.18,855.81
172,Schuljahr,4680,47.66,56,0.66,+,6.18,5311.02
174,angestrebte,250,2.55,3,0.04,+,6.17,283.64
175,Prädikanten,333,3.39,4,0.05,+,6.17,377.78
173,Koburg,334,3.4,4,0.05,+,6.17,379.0
177,Reservefond,331,3.37,4,0.05,+,6.16,375.33
176,Gemeindeschulen,1078,10.98,13,0.15,+,6.16,1222.59
179,Schnauze,573,5.84,7,0.08,+,6.15,649.2
178,Celsius,1483,15.1,18,0.21,+,6.15,1681.07
183,erzählenden,244,2.48,3,0.04,+,6.14,276.31
180,Nebensätze,572,5.83,7,0.08,+,6.14,647.98
181,Ztr,979,9.97,12,0.14,+,6.14,1108.9
182,gum,1304,13.28,16,0.19,+,6.14,1476.9
185,Trapez,323,3.29,4,0.05,+,6.13,365.56
184,kursen,650,6.62,8,0.09,+,6.13,736.0
187,Tavanasa,241,2.45,3,0.04,+,6.12,272.64
188,Eigenschaftswörter,241,2.45,3,0.04,+,6.12,272.64
186,Unterrichtsstunde,242,2.46,3,0.04,+,6.12,273.86
189,objektiven,401,4.08,5,0.06,+,6.12,453.59
195,begutachten,398,4.05,5,0.06,+,6.11,449.92
190,Bundesbehörden,479,4.88,6,0.07,+,6.11,541.62
192,Kreislinie,638,6.5,8,0.09,+,6.11,721.34
193,Schneefall,717,7.3,9,0.11,+,6.11,810.6
191,»or,718,7.31,9,0.11,+,6.11,811.82
197,auftauchen,238,2.42,3,0.04,+,6.1,268.98
196,StickstofF,397,4.04,5,0.06,+,6.1,448.7
198,anregende,237,2.41,3,0.04,+,6.09,267.76
199,Briten,237,2.41,3,0.04,+,6.09,267.76
200,segensreiche,395,4.02,5,0.06,+,6.09,446.26
201,Schulrathe,789,8.03,10,0.12,+,6.09,891.3
203,Staatenkunde,234,2.38,3,0.04,+,6.08,264.09
204,teressen,234,2.38,3,0.04,+,6.08,264.09
202,5—6,235,2.39,3,0.04,+,6.08,265.31
208,Tenor,233,2.37,3,0.04,+,6.07,262.87
206,Großräthlichen,311,3.17,4,0.05,+,6.07,350.9
205,Sachlage,389,3.96,5,0.06,+,6.07,438.93
207,Radikalismus,466,4.75,6,0.07,+,6.07,525.74
209,Oberschule,697,7.1,9,0.11,+,6.07,786.17
214,Börse,231,2.35,3,0.04,+,6.06,260.43
215,rundliche,231,2.35,3,0.04,+,6.06,260.43
211,erft,232,2.36,3,0.04,+,6.06,261.65
212,Wirksam¬,232,2.36,3,0.04,+,6.06,261.65
213,Waisenkasse,309,3.15,4,0.05,+,6.06,348.46
210,eif,387,3.94,5,0.06,+,6.06,436.49
218,Illinois,230,2.34,3,0.04,+,6.05,259.21
216,Torflager,384,3.91,5,0.06,+,6.05,432.83
217,MasanS,691,7.04,9,0.11,+,6.05,778.85
221,Entgegentreten,455,4.63,6,0.07,+,6.04,512.32
220,Wandtafel,911,9.28,12,0.14,+,6.04,1025.86
224,Abendschulen,226,2.3,3,0.04,+,6.03,254.33
225,Neü,226,2.3,3,0.04,+,6.03,254.33
222,Richmond,303,3.09,4,0.05,+,6.03,341.14
223,derartige,1587,16.16,21,0.25,+,6.03,1786.41
227,Granbündens,225,2.29,3,0.04,+,6.02,253.11
226,Altersstufe,301,3.07,4,0.05,+,6.02,338.7
228,Winterschule,449,4.57,6,0.07,+,6.02,505.0
231,iraS,223,2.27,3,0.04,+,6.01,250.67
230,Violett,224,2.28,3,0.04,+,6.01,251.89
232,Std,1188,12.1,16,0.19,+,6.0,1335.28
233,Spr.,1330,13.54,18,0.21,+,6.0,1494.26
239,Pianoforte,220,2.24,3,0.04,+,5.99,247.01
234,Berufsthätigkeit,221,2.25,3,0.04,+,5.99,248.23
236,Verhandlungsgegenstände,294,2.99,4,0.05,+,5.99,330.16
237,Grundbesitz,367,3.74,5,0.06,+,5.99,412.09
238,Hervorheben,807,8.22,11,0.13,+,5.99,906.11
235,Vgl,1914,19.49,26,0.31,+,5.99,2149.71
240,snm,219,2.23,3,0.04,+,5.98,245.79
241,Elementarklassen,218,2.22,3,0.04,+,5.97,244.57
242,Lärche,216,2.2,3,0.04,+,5.96,242.13
243,Malir,1510,15.38,21,0.25,+,5.96,1692.51
248,Röder,214,2.18,3,0.04,+,5.95,239.7
249,Poli¬,214,2.18,3,0.04,+,5.95,239.7
245,ErzichungSratheS,215,2.19,3,0.04,+,5.95,240.91
247,anregenden,286,2.91,4,0.05,+,5.95,320.41
246,Aneignung,429,4.37,6,0.07,+,5.95,480.61
251,Loison,213,2.17,3,0.04,+,5.94,238.48
253,betont,425,4.33,6,0.07,+,5.94,475.74
252,schulklassen,496,5.05,7,0.08,+,5.94,555.23
250,Referat,2775,28.26,39,0.46,+,5.94,3107.55
255,irrenanstalt,281,2.86,4,0.05,+,5.93,314.32
254,TurnenS,423,4.31,6,0.07,+,5.93,473.3
257,PflanzenwuchS,210,2.14,3,0.04,+,5.92,234.82
258,Bodenarten,280,2.85,4,0.05,+,5.92,313.1
256,Hft,420,4.28,6,0.07,+,5.92,469.65
260,WurSt,909,9.26,13,0.15,+,5.92,1016.35
259,Erpedition,1330,13.54,19,0.22,+,5.92,1487.22
262,zyt,208,2.12,3,0.04,+,5.91,232.39
