Number;Word;Freq 1;Freq 1 (per mill);Freq 2;Freq 2 (per mill);+/-;Stat 1.;Stat 2.
1;Obligatorisch;1431;14.57;3;0.04;+;8.69;1745.22
2;durchschnittlich;4915;50.05;12;0.14;+;8.47;5976.27
3;sog.;1184;12.06;3;0.04;+;8.42;1438.49
4;-j-;1586;16.15;5;0.06;+;8.1;1916.89
5;benn;931;9.48;3;0.04;+;8.07;1124.59
6;ft;927;9.44;3;0.04;+;8.06;1119.63
7;Franko;6555;66.75;22;0.26;+;8.01;7909.5
8;Niederste;1779;18.12;6;0.07;+;8;2146.28
9;Jenatsch;2360;24.03;8;0.09;+;8;2846.83
10;ba‰;1707;17.38;6;0.07;+;7.94;2057.03
11;Bevers;2778;28.29;10;0.12;+;7.91;3345.36
12;eidg.;1361;13.86;5;0.06;+;7.88;1637.97
13;Soeben;1319;13.43;5;0.06;+;7.83;1585.94
14;Runkelrben;705;7.18;3;0.04;+;7.67;844.56
15;bth;887;9.03;4;0.05;+;7.58;1060.49
16;-f-;853;8.69;4;0.05;+;7.53;1018.42
17;fid;838;8.53;4;0.05;+;7.5;999.87
18;Jahresversammlung;605;6.16;3;0.04;+;7.45;720.84
19;lehrerbesoldungen;1009;10.28;5;0.06;+;7.45;1202.22
20;AbonnementSpreis;1527;15.55;8;0.09;+;7.37;1815.51
21;komite;754;7.68;4;0.05;+;7.35;896.01
22;Brusio;1882;19.17;10;0.12;+;7.35;2236.33
23;Kantonsschnle;562;5.72;3;0.04;+;7.34;667.68
24;zugespitzt;750;7.64;4;0.05;+;7.34;891.07
25;Realta;541;5.51;3;0.04;+;7.29;641.73
26;nad;1363;13.88;8;0.09;+;7.2;1612.91
27;Narbe;485;4.94;3;0.04;+;7.13;572.59
28;Grauª;480;4.89;3;0.04;+;7.11;566.42
29;Hitz;1600;16.29;10;0.12;+;7.11;1888.07
30;Mfl;795;8.1;5;0.06;+;7.1;937.86
31;Korr;469;4.78;3;0.04;+;7.08;552.85
32;gefleckt;462;4.7;3;0.04;+;7.06;544.21
33;selbst„ndigen;464;4.73;3;0.04;+;7.06;546.68
34;Pr„position;617;6.28;4;0.05;+;7.06;726.85
35;RepS;619;6.3;4;0.05;+;7.06;729.32
36;Allemann;460;4.68;3;0.04;+;7.05;541.75
37;Lehrerschaft;3521;35.86;23;0.27;+;7.05;4146.44
38;Ver”ffentlichung;594;6.05;4;0.05;+;7;698.49
39;Geschichtsunterricht;442;4.5;3;0.04;+;6.99;519.55
40;landwirthschaftlichcn;438;4.46;3;0.04;+;6.98;514.62
41;erm”glichen;585;5.96;4;0.05;+;6.98;687.39
42;Lehrerverein;1013;10.32;7;0.08;+;6.97;1189.68
43;Thalschaften;709;7.22;5;0.06;+;6.94;831.81
44;geselliges;996;10.14;7;0.08;+;6.94;1168.73
45;Felsberg;1128;11.49;8;0.09;+;6.93;1323.01
46;Jnterlaken;1959;19.95;14;0.16;+;6.92;2296.8
47;Realschler;417;4.25;3;0.04;+;6.91;488.74
48;Gesammtschule;403;4.1;3;0.04;+;6.86;471.49
49;Hauptst;533;5.43;4;0.05;+;6.85;623.32
50;energisch;534;5.44;4;0.05;+;6.85;624.55
51;Pers”nlichkeiten;534;5.44;4;0.05;+;6.85;624.55
52;Regl;385;3.92;3;0.04;+;6.79;449.33
53;Eisenbahnen;1265;12.88;10;0.12;+;6.77;1475.2
54;OberengadinS;377;3.84;3;0.04;+;6.76;439.48
55;Schanfigg;1002;10.2;8;0.09;+;6.76;1167.85
56;romanischen;3142;32;25;0.29;+;6.76;3662.8
57;bespricht;857;8.73;7;0.08;+;6.73;997.57
58;altdeutschen;733;7.46;6;0.07;+;6.72;853.13
59;beren;362;3.69;3;0.04;+;6.71;421.03
60;Vorlage;481;4.9;4;0.05;+;6.7;559.32
61;ermitteln;603;6.14;5;0.06;+;6.7;701.31
62;Tester;475;4.84;4;0.05;+;6.68;551.94
63;3eit;589;6;5;0.06;+;6.67;684.09
64;Wiederholungskurs;469;4.78;4;0.05;+;6.66;544.57
65;eidª;349;3.55;3;0.04;+;6.65;405.04
66;ge*;345;3.51;3;0.04;+;6.64;400.13
67;kultivirt;345;3.51;3;0.04;+;6.64;400.13
68;Lehrergehalte;345;3.51;3;0.04;+;6.64;400.13
69;Ganzoni;340;3.46;3;0.04;+;6.62;393.98
70;Stadtvogt;452;4.6;4;0.05;+;6.61;523.67
71;Pr„ttigau;1583;16.12;14;0.16;+;6.61;1834.09
72;Anschauungsweise;336;3.42;3;0.04;+;6.6;389.07
73;konfessionellen;899;9.16;8;0.09;+;6.6;1041.2
74;Elementarklasse;332;3.38;3;0.04;+;6.58;384.15
75;Wat;1219;12.41;11;0.13;+;6.58;1410.61
76;Akkusativ;329;3.35;3;0.04;+;6.57;380.47
77;Konolsingen;439;4.47;4;0.05;+;6.57;507.7
78;derartigen;879;8.95;8;0.09;+;6.57;1016.63
79;Realª;327;3.33;3;0.04;+;6.56;378.01
80;Vordergrund;436;4.44;4;0.05;+;6.56;504.02
81;Bezirksª;654;6.66;6;0.07;+;6.56;756.02
82;Vazerol;430;4.38;4;0.05;+;6.54;496.65
83;Armenordnung;320;3.26;3;0.04;+;6.53;369.42
84;bndnerischen;4055;41.29;38;0.45;+;6.53;4681.38
85;Nebenwinkel;316;3.22;3;0.04;+;6.51;364.51
86;Orchester;315;3.21;3;0.04;+;6.5;363.28
87;Schtzenfest;415;4.23;4;0.05;+;6.49;478.23
88;Kasus;520;5.3;5;0.06;+;6.49;599.33
89;Bezirksschulr„the;830;8.45;8;0.09;+;6.49;956.47
90;L„ngenfuá;410;4.18;4;0.05;+;6.47;472.1
91;>/z;411;4.19;4;0.05;+;6.47;473.33
92;Sternschnuppen;305;3.11;3;0.04;+;6.46;351.01
93;Konzession;407;4.14;4;0.05;+;6.46;468.42
94;Dollars;301;3.07;3;0.04;+;6.44;346.1
95;Schulbl„tter;1307;13.31;13;0.15;+;6.44;1503.04
96;Ehrenmitglieder;300;3.06;3;0.04;+;6.43;344.87
97;stile;300;3.06;3;0.04;+;6.43;344.87
98;durchscheinend;400;4.07;4;0.05;+;6.43;459.83
99;Regirung;1693;17.24;17;0.2;+;6.43;1945.71
100;lehrerseminar;1288;13.12;13;0.15;+;6.42;1479.74
101;Churs;394;4.01;4;0.05;+;6.41;452.47
102;Kantonstheils;391;3.98;4;0.05;+;6.4;448.79
103;durchschnittliche;781;7.95;8;0.09;+;6.4;896.36
104;BisthnmS;291;2.96;3;0.04;+;6.39;333.84
105;Msgr;291;2.96;3;0.04;+;6.39;333.84
106;behaart;1070;10.9;11;0.13;+;6.39;1227.75
107;18Z7;286;2.91;3;0.04;+;6.37;327.71
108;Romanische;2009;20.46;21;0.25;+;6.37;2302.55
109;Seminarlehrer;569;5.79;6;0.07;+;6.36;651.74
110;PrfungS;282;2.87;3;0.04;+;6.35;322.81
111;Ausstellers;282;2.87;3;0.04;+;6.35;322.81
112;Kollekte;468;4.77;5;0.06;+;6.34;535.56
113;Besprechungen;939;9.56;10;0.12;+;6.34;1074.8
114;Evang.;1217;12.39;13;0.15;+;6.34;1392.71
115;Bundesversammlung;1578;16.07;17;0.2;+;6.33;1804.75
116;Schweizerª;278;2.83;3;0.04;+;6.32;317.91
117;¯iel;276;2.81;3;0.04;+;6.31;315.46
118;Lehrplanes;274;2.79;3;0.04;+;6.3;313.01
119;Aufsichtsbeh”rden;364;3.71;4;0.05;+;6.3;415.71
120;Rodels;364;3.71;4;0.05;+;6.3;415.71
121;-52;365;3.72;4;0.05;+;6.3;416.94
122;abzuª;457;4.65;5;0.06;+;6.3;522.09
123;balb;546;5.56;6;0.07;+;6.3;623.57
124;minar;269;2.74;3;0.04;+;6.28;306.89
125;ftch;270;2.75;3;0.04;+;6.28;308.11
126;betreffs;2159;21.99;24;0.28;+;6.28;2463.67
127;Sester;265;2.7;3;0.04;+;6.26;301.99
128;RechenschaftSbericht;355;3.62;4;0.05;+;6.26;404.69
129;Fleischig;352;3.58;4;0.05;+;6.25;401.02
130;entgegenzutreten;262;2.67;3;0.04;+;6.24;298.32
131;Violine;260;2.65;3;0.04;+;6.23;295.87
132;Wortstellung;348;3.54;4;0.05;+;6.23;396.13
133;-7^;433;4.41;5;0.06;+;6.23;492.71
134;verantwortliche;434;4.42;5;0.06;+;6.23;493.93
135;Konzert;258;2.63;3;0.04;+;6.22;293.42
136;Schreibbungen;259;2.64;3;0.04;+;6.22;294.65
137;naturgeschichtlichen;257;2.62;3;0.04;+;6.21;292.2
138;verwerthen;257;2.62;3;0.04;+;6.21;292.2
139;Unterrichtszeit;599;6.1;7;0.08;+;6.21;680.99
140;Monatschronik;1027;10.46;12;0.14;+;6.21;1167.58
141;Waten;593;6.04;7;0.08;+;6.2;673.65
142;Bisthnm;594;6.05;7;0.08;+;6.2;674.87
143;Rems;588;5.99;7;0.08;+;6.18;667.53
144;Substantiv;588;5.99;7;0.08;+;6.18;667.53
145;Lesestcke;754;7.68;9;0.11;+;6.18;855.81
146;Schuljahr;4680;47.66;56;0.66;+;6.18;5311.02
147;angestrebte;250;2.55;3;0.04;+;6.17;283.64
148;Pr„dikanten;333;3.39;4;0.05;+;6.17;377.78
149;Koburg;334;3.4;4;0.05;+;6.17;379
150;Reservefond;331;3.37;4;0.05;+;6.16;375.33
151;Gemeindeschulen;1078;10.98;13;0.15;+;6.16;1222.59
152;Schnauze;573;5.84;7;0.08;+;6.15;649.2
153;Celsius;1483;15.1;18;0.21;+;6.15;1681.07
154;erz„hlenden;244;2.48;3;0.04;+;6.14;276.31
155;Nebens„tze;572;5.83;7;0.08;+;6.14;647.98
156;Ztr;979;9.97;12;0.14;+;6.14;1108.9
157;gum;1304;13.28;16;0.19;+;6.14;1476.9
158;Trapez;323;3.29;4;0.05;+;6.13;365.56
159;kursen;650;6.62;8;0.09;+;6.13;736
160;Tavanasa;241;2.45;3;0.04;+;6.12;272.64
161;Eigenschaftsw”rter;241;2.45;3;0.04;+;6.12;272.64
162;Unterrichtsstunde;242;2.46;3;0.04;+;6.12;273.86
163;objektiven;401;4.08;5;0.06;+;6.12;453.59
164;begutachten;398;4.05;5;0.06;+;6.11;449.92
165;Bundesbeh”rden;479;4.88;6;0.07;+;6.11;541.62
166;Kreislinie;638;6.5;8;0.09;+;6.11;721.34
167;Schneefall;717;7.3;9;0.11;+;6.11;810.6
168;¯or;718;7.31;9;0.11;+;6.11;811.82
169;auftauchen;238;2.42;3;0.04;+;6.1;268.98
170;StickstofF;397;4.04;5;0.06;+;6.1;448.7
171;anregende;237;2.41;3;0.04;+;6.09;267.76
172;Briten;237;2.41;3;0.04;+;6.09;267.76
173;segensreiche;395;4.02;5;0.06;+;6.09;446.26
174;Schulrathe;789;8.03;10;0.12;+;6.09;891.3
175;Staatenkunde;234;2.38;3;0.04;+;6.08;264.09
176;teressen;234;2.38;3;0.04;+;6.08;264.09
177;5?6;235;2.39;3;0.04;+;6.08;265.31
178;Tenor;233;2.37;3;0.04;+;6.07;262.87
179;Groár„thlichen;311;3.17;4;0.05;+;6.07;350.9
180;Sachlage;389;3.96;5;0.06;+;6.07;438.93
181;Radikalismus;466;4.75;6;0.07;+;6.07;525.74
182;Oberschule;697;7.1;9;0.11;+;6.07;786.17
183;B”rse;231;2.35;3;0.04;+;6.06;260.43
184;rundliche;231;2.35;3;0.04;+;6.06;260.43
185;erft;232;2.36;3;0.04;+;6.06;261.65
186;Wirksamª;232;2.36;3;0.04;+;6.06;261.65
187;Waisenkasse;309;3.15;4;0.05;+;6.06;348.46
188;eif;387;3.94;5;0.06;+;6.06;436.49
189;Illinois;230;2.34;3;0.04;+;6.05;259.21
190;Torflager;384;3.91;5;0.06;+;6.05;432.83
191;MasanS;691;7.04;9;0.11;+;6.05;778.85
192;Entgegentreten;455;4.63;6;0.07;+;6.04;512.32
193;Wandtafel;911;9.28;12;0.14;+;6.04;1025.86
194;Abendschulen;226;2.3;3;0.04;+;6.03;254.33
195;Ne;226;2.3;3;0.04;+;6.03;254.33
196;Richmond;303;3.09;4;0.05;+;6.03;341.14
197;derartige;1587;16.16;21;0.25;+;6.03;1786.41
198;Granbndens;225;2.29;3;0.04;+;6.02;253.11
199;Altersstufe;301;3.07;4;0.05;+;6.02;338.7
200;Winterschule;449;4.57;6;0.07;+;6.02;505
201;iraS;223;2.27;3;0.04;+;6.01;250.67
202;Violett;224;2.28;3;0.04;+;6.01;251.89
203;Std;1188;12.1;16;0.19;+;6;1335.28
204;Spr.;1330;13.54;18;0.21;+;6;1494.26
205;Pianoforte;220;2.24;3;0.04;+;5.99;247.01
206;Berufsth„tigkeit;221;2.25;3;0.04;+;5.99;248.23
207;Verhandlungsgegenst„nde;294;2.99;4;0.05;+;5.99;330.16
208;Grundbesitz;367;3.74;5;0.06;+;5.99;412.09
209;Hervorheben;807;8.22;11;0.13;+;5.99;906.11
210;Vgl;1914;19.49;26;0.31;+;5.99;2149.71
211;snm;219;2.23;3;0.04;+;5.98;245.79
212;Elementarklassen;218;2.22;3;0.04;+;5.97;244.57
213;L„rche;216;2.2;3;0.04;+;5.96;242.13
214;Malir;1510;15.38;21;0.25;+;5.96;1692.51
215;R”der;214;2.18;3;0.04;+;5.95;239.7
216;Poliª;214;2.18;3;0.04;+;5.95;239.7
217;ErzichungSratheS;215;2.19;3;0.04;+;5.95;240.91
218;anregenden;286;2.91;4;0.05;+;5.95;320.41
219;Aneignung;429;4.37;6;0.07;+;5.95;480.61
220;Loison;213;2.17;3;0.04;+;5.94;238.48
221;betont;425;4.33;6;0.07;+;5.94;475.74
222;schulklassen;496;5.05;7;0.08;+;5.94;555.23
223;Referat;2775;28.26;39;0.46;+;5.94;3107.55
224;irrenanstalt;281;2.86;4;0.05;+;5.93;314.32
225;TurnenS;423;4.31;6;0.07;+;5.93;473.3
226;PflanzenwuchS;210;2.14;3;0.04;+;5.92;234.82
227;Bodenarten;280;2.85;4;0.05;+;5.92;313.1
228;Hft;420;4.28;6;0.07;+;5.92;469.65
229;WurSt;909;9.26;13;0.15;+;5.92;1016.35
230;Erpedition;1330;13.54;19;0.22;+;5.92;1487.22
231;zyt;208;2.12;3;0.04;+;5.91;232.39
232;Diagonalen;209;2.13;3;0.04;+;5.91;233.61
233;Buchfhrung;485;4.94;7;0.08;+;5.91;541.83
234;Pfarrª;206;2.1;3;0.04;+;5.89;229.95
235;Naturerscheinungen;1713;17.44;25;0.29;+;5.89;1911.81
236;wagrecht;340;3.46;5;0.06;+;5.88;379.2
237;Arvigo;340;3.46;5;0.06;+;5.88;379.2
238;Bundestag;545;5.55;8;0.09;+;5.88;607.93
239;Ebensosehr;203;2.07;3;0.04;+;5.87;226.3
240;Erziehnngsrath;339;3.45;5;0.06;+;5.87;377.98
241;Aktion„re;405;4.12;6;0.07;+;5.87;451.38
242;Galizien;201;2.05;3;0.04;+;5.86;223.87
243;Begriffsw”rter;202;2.06;3;0.04;+;5.86;225.08
244;Neichenau;268;2.73;4;0.05;+;5.86;298.49
245;U2;269;2.74;4;0.05;+;5.86;299.71
246;Ausbau;469;4.78;7;0.08;+;5.86;522.36
247;beth„tigen;740;7.54;11;0.13;+;5.86;824.5
248;konª;1278;13.01;19;0.22;+;5.86;1423.91
249;ungengenden;266;2.71;4;0.05;+;5.85;296.06
250;tonSschule;334;3.4;5;0.06;+;5.85;371.89
251;Tavetsch;667;6.79;10;0.12;+;5.85;742.57
252;Freischieáen;199;2.03;3;0.04;+;5.84;221.43
253;wiederzugeben;265;2.7;4;0.05;+;5.84;294.84
254;Gesammtbev”lkerung;197;2.01;3;0.04;+;5.83;219
255;Anschauungs-;197;2.01;3;0.04;+;5.83;219
256;Aufbesserung;197;2.01;3;0.04;+;5.83;219
257;Parallelogramme;198;2.02;3;0.04;+;5.83;220.22
258;Rationell;198;2.02;3;0.04;+;5.83;220.22
259;Farblos;263;2.68;4;0.05;+;5.83;292.41
260;Heranª;264;2.69;4;0.05;+;5.83;293.62
261;Heimathgemeinde;394;4.01;6;0.07;+;5.83;438
262;Puschlav;2766;28.17;42;0.49;+;5.83;3075.77
263;anlehen;262;2.67;4;0.05;+;5.82;291.19
264;6ø;326;3.32;5;0.06;+;5.82;362.16
265;Maienfcld;326;3.32;5;0.06;+;5.82;362.16
266;Sparkasse;978;9.96;15;0.18;+;5.82;1086.49
267;Furth;194;1.98;3;0.04;+;5.81;215.35
268;07.;195;1.99;3;0.04;+;5.81;216.57
269;gegliedert;195;1.99;3;0.04;+;5.81;216.57
270;Zeichenunterricht;195;1.99;3;0.04;+;5.81;216.57
271;Gymnasial-;260;2.65;4;0.05;+;5.81;288.76
272;Altersjahr;1428;14.54;22;0.26;+;5.81;1585.74
273;-s-;3620;36.86;56;0.66;+;5.81;4018.35
274;babcn;193;1.97;3;0.04;+;5.8;214.14
275;Gleichlaufenden;257;2.62;4;0.05;+;5.8;285.11
276;Dienstª;192;1.96;3;0.04;+;5.79;212.92
277;Friedhofe;192;1.96;3;0.04;+;5.79;212.92
278;wnschbaren;192;1.96;3;0.04;+;5.79;212.92
279;Genuásucht;383;3.9;6;0.07;+;5.79;424.63
280;Schulreform;511;5.2;8;0.09;+;5.79;566.58
281;OhreS;190;1.93;3;0.04;+;5.78;210.49
282;Vorg„ngen;317;3.23;5;0.06;+;5.78;351.22
283;forstwirthschaft;570;5.8;9;0.11;+;5.78;631.47
284;Vorfhren;378;3.85;6;0.07;+;5.77;418.55
285;Seidenweberei;379;3.86;6;0.07;+;5.77;419.77
286;Grundform;188;1.91;3;0.04;+;5.76;208.06
287;clum;250;2.55;4;0.05;+;5.76;276.6
288;Kilometer;439;4.47;7;0.08;+;5.76;485.88
289;Nod;1065;10.85;17;0.2;+;5.76;1178.61
290;Zust„nde;3265;33.25;52;0.61;+;5.76;3614.13
291;Norddeutschen;187;1.9;3;0.04;+;5.75;206.85
292;zahlreichem;247;2.52;4;0.05;+;5.74;272.96
293;Mozart;308;3.14;5;0.06;+;5.74;340.29
294;Selbst„ndig;619;6.3;10;0.12;+;5.74;684.23
295;8,5;184;1.87;3;0.04;+;5.73;203.2
296;Schattenseiten;184;1.87;3;0.04;+;5.73;203.2
297;technisches;184;1.87;3;0.04;+;5.73;203.2
298;Scheintod;183;1.86;3;0.04;+;5.72;201.99
299;Lehrstandes;426;4.34;7;0.08;+;5.72;470.1
300;Kleinkinderschule;671;6.83;11;0.13;+;5.72;740.63
301;fonnte;729;7.42;12;0.14;+;5.72;804.32
302;Fortfhrung;181;1.84;3;0.04;+;5.71;199.56
303;Angelegenª;181;1.84;3;0.04;+;5.71;199.56
304;furchtª;182;1.85;3;0.04;+;5.71;200.78
305;enormen;302;3.08;5;0.06;+;5.71;333.01
306;dom„nen;664;6.76;11;0.13;+;5.71;732.13
307;Purtein;180;1.83;3;0.04;+;5.7;198.35
308;Schulgeldern;238;2.42;4;0.05;+;5.69;262.04
309;ansprechend;299;3.04;5;0.06;+;5.69;329.37
310;Grundfl„chen;299;3.04;5;0.06;+;5.69;329.37
311;arbeiters;296;3.01;5;0.06;+;5.68;325.73
312;fp„ter;296;3.01;5;0.06;+;5.68;325.73
313;oris;534;5.44;9;0.11;+;5.68;587.77
314;States;652;6.64;11;0.13;+;5.68;717.57
315;Bavier;832;8.47;14;0.16;+;5.68;915.92
316;Nachruf;176;1.79;3;0.04;+;5.67;193.5
317;c>s;176;1.79;3;0.04;+;5.67;193.5
318;Chlor;176;1.79;3;0.04;+;5.67;193.5
319;k”lner;177;1.8;3;0.04;+;5.67;194.71
320;Musso;353;3.59;6;0.07;+;5.67;388.21
321;Wortarten;470;4.79;8;0.09;+;5.67;516.8
