Position,Token,Absolute Häufigkeit 1835-1870,Relative Häufigkeit 1835-1870,Absolute Häufigkeit 1800-1834,Relative Häufigkeit 1800-1837,+/-,Log ratio,Log Likelihood
6,wät,1346.0,22.17,3.0,0.22,+,6.63,504.51
8,Pfr,6884.0,113.41,16.0,1.19,+,6.57,2574.65
11,Soeben,1552.0,25.57,4.0,0.3,+,6.42,577.05
12,gum,1503.0,24.76,4.0,0.3,+,6.37,557.76
17,unb,37707.0,621.21,112.0,8.36,+,6.22,13899.92
18,bie,26905.0,443.25,85.0,6.34,+,6.13,9875.64
19,Jnterlaken,1569.0,25.85,5.0,0.37,+,6.11,575.45
21,Ba«,1512.0,24.91,5.0,0.37,+,6.06,553.08
23,Kt.,2747.0,45.26,10.0,0.75,+,5.92,997.6
29,Bem,8357.0,137.68,34.0,2.54,+,5.76,3007.48
31,»or,724.0,11.93,3.0,0.22,+,5.74,260.12
32,Sekundär-,720.0,11.86,3.0,0.22,+,5.73,258.56
35,Staatsbeitrag,931.0,15.34,4.0,0.3,+,5.68,333.42
36,bth,887.0,14.61,4.0,0.3,+,5.61,316.26
38,CtS,2719.0,44.79,13.0,0.97,+,5.53,964.06
39,Bundesversammlung,832.0,13.71,4.0,0.3,+,5.52,294.83
40,Behaart,1010.0,16.64,5.0,0.37,+,5.48,356.87
41,Referat,799.0,13.16,4.0,0.3,+,5.46,281.99
42,fid,783.0,12.9,4.0,0.3,+,5.43,275.77
45,amtliches,1139.0,18.76,6.0,0.45,+,5.39,399.86
46,türnen,1493.0,24.6,8.0,0.6,+,5.36,523.19
48,Std,1095.0,18.04,6.0,0.45,+,5.33,382.78
50,aud,1259.0,20.74,7.0,0.52,+,5.31,439.41
51,mln,496.0,8.17,3.0,0.22,+,5.19,171.44
52,Völksschule,5950.0,98.02,36.0,2.69,+,5.19,2056.6
53,Anmeldungen,493.0,8.12,3.0,0.22,+,5.18,170.28
54,3eit,488.0,8.04,3.0,0.22,+,5.17,168.35
56,bte,2435.0,40.12,15.0,1.12,+,5.16,839.81
57,»on,9877.0,162.72,62.0,4.63,+,5.14,3398.9
58,resp.,636.0,10.48,4.0,0.3,+,5.13,218.79
59,lehrerstand,474.0,7.81,3.0,0.22,+,5.12,162.94
60,Durchschnittlich,1888.0,31.1,12.0,0.9,+,5.12,648.66
61,lehrerbildung,469.0,7.73,3.0,0.22,+,5.11,161.01
62,Vorlagen,625.0,10.3,4.0,0.3,+,5.11,214.55
63,Msgr,468.0,7.71,3.0,0.22,+,5.11,160.62
65,Seminardirektor,1236.0,20.36,8.0,0.6,+,5.09,423.69
66,Balb,457.0,7.53,3.0,0.22,+,5.07,156.37
67,nad,1361.0,22.42,9.0,0.67,+,5.06,465.27
68,Gefleckt,453.0,7.46,3.0,0.22,+,5.06,154.83
69,Sekundärschulen,1786.0,29.42,12.0,0.9,+,5.04,609.3
70,Kantonstheil,439.0,7.23,3.0,0.22,+,5.01,149.43
71,Gymn,438.0,7.22,3.0,0.22,+,5.01,149.05
72,Primarlehrer,583.0,9.6,4.0,0.3,+,5.01,198.35
73,beren,433.0,7.13,3.0,0.22,+,4.99,147.12
74,fût,1430.0,23.56,10.0,0.75,+,4.98,485.28
75,nationalen,428.0,7.05,3.0,0.22,+,4.98,145.2
76,Narbe,427.0,7.03,3.0,0.22,+,4.97,144.81
78,laffen,697.0,11.48,5.0,0.37,+,4.94,235.71
79,Jgfr,418.0,6.89,3.0,0.22,+,4.94,141.35
80,Eisenbahnen,688.0,11.33,5.0,0.37,+,4.92,232.25
81,Substantiv,411.0,6.77,3.0,0.22,+,4.92,138.66
82,Aussteller,1232.0,20.3,9.0,0.67,+,4.92,415.6
83,Ztg.,684.0,11.27,5.0,0.37,+,4.92,230.72
84,abet,677.0,11.15,5.0,0.37,+,4.9,228.03
85,Scherr,1081.0,17.81,8.0,0.6,+,4.9,364.0
86,1837.,403.0,6.64,3.0,0.22,+,4.89,135.59
87,Konolsingen,536.0,8.83,4.0,0.3,+,4.89,180.27
88,Hauptst,534.0,8.8,4.0,0.3,+,4.88,179.5
89,Ift,2784.0,45.87,21.0,1.57,+,4.87,934.91
90,Alltagsschule,397.0,6.54,3.0,0.22,+,4.87,133.28
91,feinet,661.0,10.89,5.0,0.37,+,4.87,221.88
92,Lehrer-,1049.0,17.28,8.0,0.6,+,4.86,351.71
93,Komite,381.0,6.28,3.0,0.22,+,4.81,127.15
94,verabreicht,497.0,8.19,4.0,0.3,+,4.78,165.32
96,obligatorische,618.0,10.18,5.0,0.37,+,4.77,205.4
97,Sekundärschule,1854.0,30.54,15.0,1.12,+,4.77,616.21
98,1841.,370.0,6.1,3.0,0.22,+,4.77,122.93
99,expedition,1839.0,30.3,15.0,1.12,+,4.76,610.47
100,Broschüre,479.0,7.89,4.0,0.3,+,4.72,158.43
101,Besprechungen,471.0,7.76,4.0,0.3,+,4.7,155.37
102,stäts,346.0,5.7,3.0,0.22,+,4.67,113.76
103,ge*,343.0,5.65,3.0,0.22,+,4.66,112.62
104,Derartige,798.0,13.15,7.0,0.52,+,4.65,261.88
105,oon,3191.0,52.57,28.0,2.09,+,4.65,1047.17
106,altdeutschen,681.0,11.22,6.0,0.45,+,4.65,223.33
107,ermöglichen,338.0,5.57,3.0,0.22,+,4.64,110.71
108,States,658.0,10.84,6.0,0.45,+,4.6,214.56
109,atS,751.0,12.37,7.0,0.52,+,4.57,243.98
110,fte,1485.0,24.46,14.0,1.04,+,4.55,481.5
111,Waten,636.0,10.48,6.0,0.45,+,4.55,206.19
112,Schuljahr,1377.0,22.69,13.0,0.97,+,4.55,446.38
113,Vorlage,421.0,6.94,4.0,0.3,+,4.54,136.32
114,Vordergrund,315.0,5.19,3.0,0.22,+,4.53,101.96
115,Concil,733.0,12.08,7.0,0.52,+,4.53,237.14
117,Jahresbeitrag,309.0,5.09,3.0,0.22,+,4.51,99.68
118,Roggwyl,514.0,8.47,5.0,0.37,+,4.5,165.75
119,1855.,411.0,6.77,4.0,0.3,+,4.5,132.52
120,Stickereien,306.0,5.04,3.0,0.22,+,4.49,98.54
121,Mittelland,508.0,8.37,5.0,0.37,+,4.49,163.47
122,Reinertrag,507.0,8.35,5.0,0.37,+,4.48,163.1
123,konfessionellen,707.0,11.65,7.0,0.52,+,4.48,227.27
124,suisse,302.0,4.98,3.0,0.22,+,4.47,97.02
125,BAE,298.0,4.91,3.0,0.22,+,4.45,95.51
126,kapsel,695.0,11.45,7.0,0.52,+,4.45,222.72
127,Franko,1379.0,22.72,14.0,1.04,+,4.44,441.28
128,mill.,590.0,9.72,6.0,0.45,+,4.44,188.74
129,Korr,293.0,4.83,3.0,0.22,+,4.43,93.61
130,Schulgelder,293.0,4.83,3.0,0.22,+,4.43,93.61
131,eif,390.0,6.43,4.0,0.3,+,4.43,124.57
132,gründsätzlich,390.0,6.43,4.0,0.3,+,4.43,124.57
133,Kommissäre,291.0,4.79,3.0,0.22,+,4.42,92.86
134,KtS,388.0,6.39,4.0,0.3,+,4.42,123.81
135,fam,775.0,12.77,8.0,0.6,+,4.42,247.24
136,lehrerseminar,581.0,9.57,6.0,0.45,+,4.42,185.34
137,Repetirschule,290.0,4.78,3.0,0.22,+,4.42,92.48
138,»nb,289.0,4.76,3.0,0.22,+,4.41,92.1
139,PrüfungS,288.0,4.74,3.0,0.22,+,4.41,91.72
140,durchscheinend,380.0,6.26,4.0,0.3,+,4.39,120.78
141,Ältersjahre,474.0,7.81,5.0,0.37,+,4.39,150.6
142,Ortsnamen,372.0,6.13,4.0,0.3,+,4.36,117.76
143,Persönlichkeiten,372.0,6.13,4.0,0.3,+,4.36,117.76
144,Dollars,278.0,4.58,3.0,0.22,+,4.35,87.94
145,Bespricht,277.0,4.56,3.0,0.22,+,4.35,87.57
146,Schulräthe,276.0,4.55,3.0,0.22,+,4.34,87.19
147,Progymnasien,275.0,4.53,3.0,0.22,+,4.34,86.81
148,Verben,821.0,13.53,9.0,0.67,+,4.33,258.93
149,Radikalismus,447.0,7.36,5.0,0.37,+,4.3,140.42
