Jahr,Treffer per Mio. Wörter
1800,10.97
1801,4.58
1802,0.00
1803,0.00
1804,11.59
1805,30.18
1806,149.11
1807,60.52
1808,24.88
1809,233.12
1810,0.00
1811,172.75
1812,112.13
1813,10.49
1814,193.99
1815,22.07
1818,4.29
1819,0.00
1820,28.16
1821,0.00
1822,0.00
1824,0.00
1825,43.59
1826,8.58
1827,9.77
1828,0.00
1829,44.72
1830,34.11
1831,34.75
1832,72.78
1833,27.91
1834,15.80
1835,31.91
1836,16.46
1837,31.73
1838,48.89
1839,45.92
1840,43.37
1841,41.94
1842,19.11
1843,74.68
1844,24.74
1845,18.35
1846,24.94
1847,30.32
1848,168.75
1849,69.55
1850,130.50
1851,68.72
1852,73.90
1853,44.50
1854,96.40
1855,39.51
1856,97.56
1857,54.32
1858,63.75
1859,144.77
1860,51.95
1861,80.64
1862,67.94
1863,56.72
1864,97.24
1865,104.30
1866,75.98
1867,64.69
1868,92.60
1869,83.16
1870,67.53
