Distribution of hits for query "[word ="durchschnitt|durchschnittl.*"%c]" returned 4,279 matches in 1,094 different texts
__________________

Text	No. words in text	No. hits in text	Freq. per million words

10783935	8946	1	111.78
10839747	49782	13	261.14
1209725	22338	6	268.6
13974076	101962	3	29.42
13988610	58775	2	34.03
14016475	180037	34	188.85
14501495	9848	2	203.09
14861449	41822	2	47.82
15137246	211989	62	292.47
15545124	95311	6	62.95
15725848	344609	13	37.72
16068768	316768	4	12.63
16102949	479355	7	14.6
16132339	117320	1	8.52
16164179	129868	7	53.9
16332863	194645	4	20.55
16436663	28816	1	34.7
16462459	59178	4	67.59
16528610	65423	7	107
16529624	50259	4	79.59
16642365	293774	32	108.93
16701010	159186	3	18.85
16835583	10769	5	464.3
16868337	62063	17	273.92
16905750	135465	3	22.15
17076093	77738	1	12.86
17189482	75123	1	13.31
17250092	314177	2	6.37
17831437	165250	22	133.13
18035722	766432	9	11.74
18292580	802585	5	6.23
19169900	553173	87	157.27
1923726	20783	1	48.12
19522673	895935	104	116.08
19606806	251440	6	23.86
19719815	200256	54	269.65
19721701	461257	57	123.58
19762654	191181	4	20.92
19869265	143161	3	20.96
19984433	88260	8	90.64
20231634	243439	5	20.54
20291892	358825	3	8.36
20301351	82445	1	12.13
21175320	344529	105	304.76
21738125	150064	5	33.32
21741566	29882	23	769.69
21752989	98286	10	101.74
22164890	9051	1	110.49
22799846	718572	2	2.78
23365560	14215	7	492.44
23365607	6531	1	153.12
23374488	104358	2	19.16
23655278	65621	4	60.96
23934970	32128	2	62.25
23973709	306822	26	84.74
24003771	10750	9	837.21
24068882	531442	8	15.05
24121411	396745	2	5.04
24161628	175544	14	79.75
24225547	24924	4	160.49
24240638	134212	8	59.61
24274734	118247	17	143.77
24480984	182749	89	487.01
24693223	12094	1	82.69
24693737	26135	2	76.53
24726152	30150	2	66.33
24744194	93543	6	64.14
24752805	13953	2	143.34
24755271	28010	1	35.7
24755606	20498	1	48.79
24756688	47927	1	20.87
24773127	61945	1	16.14
24773556	101300	3	29.62
24774156	32810	89	2712.59
24775237	40582	3	73.92
24775884	20921	4	191.2
24812581	37777	2	52.94
24854635	75793	1	13.19
2494087	1412320	140	99.13
25077923	77823	13	167.05
25129848	198625	1	5.03
25131527	483465	2	4.14
25202297	350717	3	8.55
25423353	96883	1	10.32
25460167	499351	2	4.01
25503728	11543	2	173.27
25518695	312872	1	3.2
25532367	175747	37	210.53
25551407	256639	4	15.59
25580780	59491	1	16.81
25594473	580014	1	1.72
25605166	492947	5	10.14
26010656	627357	7	11.16
2853323	122154	4	32.75
4853913	129984	1	7.69
5034978	52168	24	460.05
5065172	521335	9	17.26
5709444	148166	13	87.74
5710598	78462	4	50.98
5711988	516281	9	17.43
5816690	1279045	16	12.51
6562668	42257	4	94.66
6666270	337369	3	8.89
6748555	205417	3	14.6
6871410	80948	3	37.06
7312875	14791	1	67.61
7365493	80357	4	49.78
7396271	170059	21	123.49
7409306	21064	1	47.47
7579706	168952	13	76.94
7789301	163931	5	30.5
7882578	422569	215	508.79
7969528	22966	1	43.54
7969628	45305	1	22.07
8420283	182700	1	5.47
8452102	398447	43	107.92
8468420	219315	20	91.19
8530328	438200	23	52.49
8583380	420735	47	111.71
8584155	595503	30	50.38
8611740	526972	8	15.18
8612670	395663	16	40.44
8613464	177698	14	78.79
8621139	98407	5	50.81
8623829	506874	1	1.97
8640514	143704	2	13.92
8673926	75085	12	159.82
8674122	127386	16	125.6
8712769	369197	43	116.47
8743818	53645	3	55.92
8746356	457952	57	124.47
8789218	509051	20	39.29
9223676	106655	23	215.65
9317405	431407	5	11.59
9348564	225815	17	75.28
9771866	189140	12	63.45
ajb_001_1854_001_17_28_e482	3700	1	270.27
ajb_001_1854_001_181_200_e435	6293	1	158.91
ajb_001_1854_001_213_254_e443	8880	1	112.61
ajb_001_1854_001_366_369_e474	1060	1	943.4
ajb_001_1854_001_81_93_e419	4280	1	233.64
ajb_001_1855_002_132_141_e353	2859	1	349.77
ajb_001_1855_002_278_291_e410	3972	1	251.76
ajb_001_1855_002_99_132_e350	10785	5	463.61
ajb_001_1856_003_205_245_e464	13944	1	71.72
ajb_001_1856_003_288_295_e425	2425	1	412.37
ajb_001_1856_003_299_304_e428	1289	1	775.8
ajb_001_1856_003_305_309_e430	1148	3	2613.24
ajb_001_1860_004_100_122_e190	7158	1	139.7
ajb_001_1860_004_122_128_e192	1921	4	2082.25
ajb_001_1862_006_182_186_e217	1091	1	916.59
ajb_001_1863_007_57_84_e211	7616	2	262.61
ajb_001_1866_008_122_128_e281	1940	2	1030.93
ajb_001_1866_008_20_44_e261	7862	1	127.19
ajb_001_1866_008_75_101_e273	8024	2	249.25
ajb_001_1868_009_115_132_e229	5469	1	182.85
ajb_001_1868_009_76_84_e227	2150	6	2790.7
ajb_001_1868_009_85_114_e228	10410	1	96.06
ajb_001_1870_010_168_184_e374	5545	1	180.34
ajb_001_1870_010_185_203_e376	4961	1	201.57
ajb_001_1870_010_204_332_e377	40625	7	172.31
ajb_001_1870_010_79_91_e362	3962	7	1766.78
ajb_001_1870_010_92_104_e363	4019	3	746.45
apm_001_1826_002_188_193_e402	1547	1	646.41
apm_001_1826_002_83_94_e459	3499	1	285.8
apm_001_1830_006_121_126_e313	1933	3	1551.99
apm_001_1830_006_137_143_e331	2152	1	464.68
apm_001_1830_006_153_161_e346	2754	2	726.22
apm_001_1830_006_37_39_e75	720	1	1388.89
apm_001_1833_009_157_163_e280	917	1	1090.51
apm_001_1835_011_185_198_e275	3218	2	621.5
apm_001_1836_012_5_18_e11	3540	1	282.49
apm_001_1837_013_101_113_e274	2862	2	698.81
