Distribution of hits for query "[word =".*statist.*"%c]" returned 3,215 matches in 949 different texts
__________________

Text	No. words in text	No. hits in text	Freq. per million words

10783935	8946	3	335.35
10839747	49782	9	180.79
1208396	20816	1	48.04
1209725	22338	1	44.77
1293768	389113	5	12.85
13974076	101962	5	49.04
14861449	41822	1	23.91
16332863	194645	1	5.14
16548193	14970	1	66.8
16641902	199476	1	5.01
16701010	159186	1	6.28
17250092	314177	1	3.18
17349076	33536	1	29.82
17831437	165250	6	36.31
18035722	766432	7	9.13
18292580	802585	9	11.21
18839627	696849	2	2.87
19169900	553173	2	3.62
19522673	895935	31	34.6
19821126	83146	3	36.08
19869265	143161	1	6.99
19984433	88260	3	33.99
20231634	243439	4	16.43
20914643	397806	5	12.57
21028274	19245	1	51.96
21175320	344529	293	850.44
21741566	29882	7	234.25
21892800	39667	5	126.05
22164890	9051	2	220.97
23365560	14215	1	70.35
23374488	104358	4	38.33
23655278	65621	8	121.91
23934970	32128	1	31.13
24003771	10750	1	93.02
24003905	21653	3	138.55
24068882	531442	24	45.16
24082685	33678	1	29.69
24121411	396745	1	2.52
24161628	175544	3	17.09
24225547	24924	1	40.12
24240638	134212	6	44.71
24274734	118247	2	16.91
24285220	21319	1	46.91
24480984	182749	275	1504.8
24691677	6067	1	164.83
24693223	12094	1	82.69
24693737	26135	1	38.26
24694237	15292	2	130.79
24719126	160501	2	12.46
24727006	20623	1	48.49
24744194	93543	2	21.38
24752607	15532	1	64.38
24755271	28010	2	71.4
24755318	15174	1	65.9
24756231	14601	4	273.95
24756403	48166	3	62.28
24757025	34436	6	174.24
24773127	61945	2	32.29
24774156	32810	14	426.7
24775237	40582	1	24.64
24775440	21241	3	141.24
24800621	144404	1	6.93
24813131	12264	1	81.54
24854635	75793	2	26.39
24864132	13976	1	71.55
24864991	33234	8	240.72
2494087	1412320	57	40.36
25077923	77823	5	64.25
25093920	333765	6	17.98
25131527	483465	4	8.27
25140595	57590	1	17.36
25202297	350717	7	19.96
25423353	96883	4	41.29
25516680	176885	2	11.31
25532367	175747	4	22.76
25580780	59491	2	33.62
25605166	492947	4	8.11
25634247	101176	1	9.88
26010656	627357	18	28.69
2853323	122154	2	16.37
2989873	154507	2	12.94
3263797	79289	1	12.61
4414410	34500	1	28.99
4841660	64450	1	15.52
5034978	52168	1	19.17
5065172	521335	17	32.61
5709444	148166	36	242.97
5710598	78462	5	63.73
5711988	516281	31	60.04
5816690	1279045	28	21.89
6666270	337369	1	2.96
6748555	205417	10	48.68
6871410	80948	13	160.6
6983075	145000	3	20.69
7082511	50967	2	39.24
7396271	170059	48	282.25
7409306	21064	2	94.95
7579706	168952	6	35.51
7715467	140195	2	14.27
7789301	163931	1	6.1
7882578	422569	309	731.24
8420283	182700	5	27.37
8452102	398447	12	30.12
8468420	219315	17	77.51
8530328	438200	3	6.85
8583380	420735	22	52.29
8584155	595503	27	45.34
8611740	526972	1	1.9
8612670	395663	12	30.33
8613464	177698	7	39.39
8621139	98407	13	132.1
8623829	506874	19	37.48
8640514	143704	8	55.67
8673926	75085	3	39.95
8674122	127386	8	62.8
8712769	369197	11	29.79
8743818	53645	2	37.28
8789218	509051	23	45.18
9223676	106655	11	103.14
9348564	225815	1	4.43
9771866	189140	1	5.29
ajb_001_1854_001_100_132_e485	10150	2	197.04
ajb_001_1854_001_181_200_e435	6293	2	317.81
ajb_001_1854_001_213_254_e443	8880	2	225.23
ajb_001_1854_001_287_297_e452	3792	1	263.71
ajb_001_1855_002_203_220_e378	5950	1	168.07
ajb_001_1855_002_295_316_e414	6026	1	165.95
ajb_001_1856_003_205_245_e464	13944	1	71.72
ajb_001_1861_005_114_121_e196	2334	1	428.45
ajb_001_1862_006_182_186_e217	1091	1	916.59
ajb_001_1862_006_93_119_e206	7984	1	125.25
ajb_001_1863_007_132_144_e226	3634	1	275.18
ajb_001_1866_008_75_101_e273	8024	2	249.25
ajb_001_1868_009_115_132_e229	5469	1	182.85
ajb_001_1868_009_76_84_e227	2150	4	1860.47
ajb_001_1870_010_204_332_e377	40625	12	295.38
ajb_001_1870_010_333_341_e378	3419	1	292.48
ajb_001_1870_010_92_104_e363	4019	1	248.82
apm_001_1825_001_68_74_e305	685	1	1459.85
apm_001_1826_002_79_82_e324	1142	1	875.66
apm_001_1827_003_169_176_e332	1169	1	855.43
apm_001_1828_004_177_180_e370	1158	1	863.56
apm_001_1830_006_147_147_e337	99	1	10101.01
apm_001_1834_010_135_144_e276	3326	2	601.32
apm_001_1836_012_5_18_e11	3540	3	847.46
apm_001_1837_013_126_128_e155	9	1	111111.11
apm_001_1838_014_171_189_e308	5653	1	176.9
apm_001_1840_016_203_206_e323	1072	1	932.84
apm_001_1840_016_25_39_e45	4243	1	235.68
apm_001_1840_016_53_56_e78	809	2	2472.19
apm_001_1841_017_26_33_e45	1434	1	697.35
apm_001_1841_017_9_22_e15	4093	1	244.32
apm_001_1842_018_166_168_e340	791	1	1264.22
apm_001_1842_018_45_54_e91	3118	1	320.72
apm_001_1843_019_229_234_e382	734	1	1362.4
apm_001_1847_023_118_120_e341	387	1	2583.98
apm_001_1847_023_18_21_e274	921	1	1085.78
apm_001_1847_023_198_200_e405	818	1	1222.49
apm_001_1847_023_43_46_e300	1428	3	2100.84
