Jahr,Treffer per Mio. Wörter
1800,0.91
1801,1.53
1802,0.00
1803,2.45
1804,0.00
1805,9.60
1806,18.64
1807,0.00
1808,16.59
1809,0.00
1810,17.36
1811,0.00
1812,20.39
1813,0.00
1814,6.93
1815,0.00
1818,0.00
1819,0.00
1820,5.63
1821,0.00
1822,0.00
1824,0.00
1825,127.42
1826,4.29
1827,21.37
1828,5.51
1829,40.99
1830,7.42
1831,9.93
1832,7.91
1833,13.95
1834,4.86
1835,22.60
1836,25.61
1837,12.45
1838,9.31
1839,17.90
1840,18.23
1841,7.95
1842,10.12
1843,23.50
1844,29.21
1845,13.19
1846,11.61
1847,25.77
1848,242.29
1849,23.18
1850,13.00
1851,38.18
1852,31.29
1853,26.81
1854,208.98
1855,35.43
1856,50.98
1857,68.77
1858,32.89
1859,54.55
1860,39.96
1861,64.07
1862,63.64
1863,53.68
1864,89.25
1865,201.44
1866,77.04
1867,63.25
1868,52.84
1869,47.83
1870,58.09
