Jahr,Treffer per Mio. Wörter
1800,9.14
1801,4.58
1802,68.02
1803,6.14
1804,0.00
1805,27.44
1806,68.34
1807,77.02
1808,37.32
1809,38.85
1810,52.09
1811,57.58
1812,30.58
1813,0.00
1814,69.28
1815,198.62
1818,30.01
1819,261.49
1820,11.26
1821,0.00
1822,0.00
1824,29.85
1825,10.06
1826,72.97
1827,25.64
1828,99.22
1829,44.72
1830,37.08
1831,0.00
1832,15.03
1833,61.05
1834,40.10
1835,43.21
1836,59.45
1837,85.25
1838,100.89
1839,102.74
1840,110.62
1841,96.18
1842,37.09
1843,93.48
1844,97.76
1845,51.03
1846,34.40
1847,54.57
1848,51.09
1849,141.03
1850,93.90
1851,107.98
1852,53.26
1853,79.88
1854,224.49
1855,133.53
1856,174.03
1857,127.71
1858,157.35
1859,209.81
1860,176.40
1861,148.02
1862,162.54
1863,116.98
1864,290.25
1865,101.23
1866,204.21
1867,140.87
1868,157.02
1869,136.43
1870,177.76
