Distribution of hits for query "([pos="CARD"][lemma=".*schüler|.*schülerin|Knabe|Mädchen|Tochter|Kind|Schüler|Schülerin|Bube"])|([lemma=".*schüler|.*schülerin|Knabe|Mädchen|Tochter|- Kind|Schüler|Schülerin|Bube"][pos= "CARD"])" returned 7,985 matches in 1,874 different texts
__________________

Text	No. words in text	No. hits in text	Freq. per million words

10839747	49782	6	120.53
1208396	20816	5	240.2
1209797	23190	9	388.1
12448669	20256	1	49.37
12461255	111313	1	8.98
1372615	21220	11	518.38
13974076	101962	10	98.08
13988610	58775	3	51.04
14501495	9848	5	507.72
15137246	211989	70	330.21
15725848	344609	31	89.96
16068768	316768	10	31.57
16132339	117320	9	76.71
16332863	194645	5	25.69
16462459	59178	5	84.49
16528610	65423	29	443.27
16529624	50259	5	99.48
16531466	26379	1	37.91
16548193	14970	4	267.2
16641902	199476	8	40.11
16642365	293774	39	132.76
16701010	159186	9	56.54
16905750	135465	2	14.76
17024071	34955	2	57.22
17076093	77738	1	12.86
17189482	75123	1	13.31
17250092	314177	1	3.18
17349076	33536	2	59.64
17831437	165250	3	18.15
18035722	766432	11	14.35
18292580	802585	2	2.49
18839627	696849	1	1.44
1923571	15661	1	63.85
1923726	20783	1	48.12
19522673	895935	24	26.79
19606806	251440	1	3.98
19719815	200256	2	9.99
19721701	461257	9	19.51
19869265	143161	2	13.97
19979617	144633	3	20.74
19984433	88260	4	45.32
20231634	243439	4	16.43
20291892	358825	13	36.23
20301351	82445	2	24.26
20914643	397806	1	2.51
21027954	16100	1	62.11
21028274	19245	1	51.96
21175320	344529	74	214.79
21536018	7830	1	127.71
21741566	29882	33	1104.34
21892800	39667	6	151.26
22148715	69428	8	115.23
22799846	718572	9	12.52
22814805	14437	2	138.53
23365560	14215	1	70.35
23374488	104358	8	76.66
23470674	58220	7	120.23
23655278	65621	7	106.67
23870916	213375	8	37.49
23934970	32128	1	31.13
24001925	10020	1	99.8
24003735	7179	5	696.48
24003771	10750	12	1116.28
24003815	27123	1	36.87
24004036	10912	2	183.28
24004092	3036	1	329.38
24007746	26770	7	261.49
24068882	531442	33	62.1
24082685	33678	4	118.77
24083464	20786	4	192.44
24121411	396745	14	35.29
24161628	175544	16	91.15
24199204	14741	2	135.68
24240638	134212	11	81.96
24274734	118247	1	8.46
24285220	21319	1	46.91
24480984	182749	146	798.91
24535141	9637	3	311.3
24676627	97441	3	30.79
24692297	14433	1	69.29
24692333	23403	1	42.73
24693223	12094	2	165.37
24693478	4974	1	201.05
24693694	12238	2	163.43
24693737	26135	1	38.26
24693795	22574	7	310.09
24694149	11448	1	87.35
24719126	160501	6	37.38
24724918	14404	6	416.55
24725215	10597	2	188.73
24725417	13642	1	73.3
24725725	8573	3	349.94
24725923	50025	2	39.98
24726152	30150	2	66.33
24727006	20623	5	242.45
24752805	13953	2	143.34
24753146	25110	4	159.3
24754881	17066	1	58.6
24755271	28010	5	178.51
24755606	20498	10	487.85
24756195	16814	1	59.47
24756231	14601	1	68.49
24756403	48166	1	20.76
24757025	34436	9	261.35
24773127	61945	2	32.29
24773556	101300	19	187.56
24774156	32810	28	853.4
24774533	19303	1	51.81
24775237	40582	12	295.7
24775440	21241	8	376.63
24775774	14803	9	607.98
24775884	20921	3	143.4
24776081	12463	2	160.48
24776165	23298	1	42.92
24776350	1495	1	668.9
24777217	13562	1	73.74
24812339	34079	14	410.81
24812581	37777	13	344.12
24854635	75793	1	13.19
24864620	40543	1	24.67
24864991	33234	7	210.63
2494087	1412320	39	27.61
25077923	77823	44	565.39
25093920	333765	2	5.99
25099982	188056	9	47.86
25129848	198625	2	10.07
25131527	483465	8	16.55
25140595	57590	3	52.09
25202297	350717	6	17.11
25355540	53671	11	204.95
25423353	96883	3	30.97
25502801	100396	2	19.92
25503728	11543	6	519.8
25516680	176885	3	16.96
25518695	312872	8	25.57
25532367	175747	2	11.38
25551407	256639	5	19.48
25578790	113114	1	8.84
25580780	59491	5	84.05
25605166	492947	15	30.43
26010656	627357	27	43.04
2853323	122154	1	8.19
2989873	154507	21	135.92
3001425	116952	2	17.1
3263797	79289	2	25.22
3264227	15751	1	63.49
3942618	50064	9	179.77
3943198	49078	3	61.13
3943417	100215	14	139.7
4248513	122618	14	114.18
4556877	33676	5	148.47
4570249	56516	1	17.69
4825625	34709	1	28.81
4835994	66990	2	29.86
4841660	64450	14	217.22
4842161	41008	5	121.93
4853913	129984	5	38.47
4863375	81694	5	61.2
5034978	52168	19	364.21
5065172	521335	30	57.54
5427784	118007	6	50.84
5709444	148166	4	27
5710598	78462	5	63.73
5711988	516281	12	23.24
5816690	1279045	29	22.67
6748555	205417	1	4.87
6871410	80948	9	111.18
