Distribution of hits for query "[word="Absenztabellen|Absenzenlisten|Absenzenverzeichniß|Absenzenverzeichnisse|Absenzenlistcn|Absenzentabellen|Versäumnißrodel|Versäumnißtabelle|Absenzenliste|Absenzcnrapporte|Absenzen-Verzeichnisse|Absenzenberichten|Schullisten|Schultabellen|Versäumnißtabellen"]" returned 68 matches in 57 different texts
__________________

Text	No. words in text	No. hits in text	Freq. per million words

24719126	160501	1	6.23
24726279	25771	1	38.8
24757025	34436	1	29.04
24776081	12463	1	80.24
24854635	75793	1	13.19
25131527	483465	1	2.07
ajb_001_1855_002_278_291_e410	3972	4	1007.05
ajb_001_1855_002_32_57_e337	6552	1	152.63
ajb_001_1866_008_122_128_e281	1940	1	515.46
ajb_001_1868_009_58_75_e226	5426	3	552.89
ajb_001_1870_010_204_332_e377	40625	1	24.62
ajb_001_1870_010_333_341_e378	3419	1	292.48
apm_001_1838_014_33_38_e230	1583	1	631.71
apm_001_1843_019_15_19_e25	186	1	5376.34
ass_001_1836_002_298_336_e746	15564	2	128.5
ass_001_1837_003_249_260_e952	4478	1	223.31
ass_001_1837_003_341_359_e997	8768	1	114.05
ass_001_1837_003_408_429_e732	7913	1	126.37
ass_001_1837_003_73_77_e933	1494	2	1338.69
ass_001_1838_004_265_271_e804	2982	1	335.35
ass_001_1838_004_357_360_e808	1700	1	588.24
ass_001_1838_004_471_481_e820	4650	1	215.05
ass_001_1840_006_345_349_e736	1609	1	621.5
ass_001_1841_007_450_473_e747	8049	1	124.24
ass_001_1842_008_70_77_e602	2670	1	374.53
bso_001_1863_006_109_112_e30	4208	1	237.64
bso_001_1863_006_85_88_e24	4363	1	229.2
bso_001_1864_007_201_204_e54	4256	2	469.92
bso_001_1865_008_69_72_e20	4382	1	228.21
bso_001_1866_009_49_54_e15	6237	1	160.33
skz_003_1853_006_294_301_e469	6942	1	144.05
slz_001_1856_001_312_344_e13	11218	1	89.14
slz_001_1856_001_43_75_e5	13653	2	146.49
slz_001_1856_001_5_42_e4	17428	1	57.38
slz_001_1857_002_109_140_e7	14411	1	69.39
slz_001_1857_002_197_260_e9	27831	1	35.93
slz_001_1857_002_325_356_e12	13246	1	75.49
slz_001_1857_002_5_44_e4	10831	1	92.33
slz_001_1859_004_37_68_e5	15513	1	64.46
slz_001_1860_005_368_403_e10	14836	1	67.4
slz_002_1865_010_71_78_e12	3868	2	517.06
slz_002_1866_011_265_272_e36	5738	1	174.28
slz_002_1866_011_297_304_e40	5546	1	180.31
slz_002_1868_013_177_184_e25	5782	1	172.95
slz_002_1868_013_41_48_e8	5735	1	174.37
syn_001_1836_000_26_35_e90	4844	1	206.44
syn_001_1837_000_82_88_e118	2908	1	343.88
syn_001_1838_000_25_26_e148	249	1	4016.06
syn_001_1847_000_40_82_e232	14434	1	69.28
syn_001_1849_000_16_37_e106	6968	1	143.51
syn_001_1852_000_24_126_e176	35166	1	28.44
syn_001_1864_000_196_223_e283	11768	1	84.98
syn_001_1864_000_3_13_e274	3301	1	302.94
syn_001_1867_000_70_96_e121	11297	2	177.04
vsb_001_1854_001_200_202_e233	2003	1	499.25
vsb_001_1854_001_203_203_e237	438	1	2283.11
vsb_001_1858_005_418_419_e409	1262	1	792.39
