Distribution of hits for query "[word="Absenz.*|Versäumniß"%cd]" returned 978 matches in 319 different texts
__________________

Text	No. words in text	No. hits in text	Freq. per million words

13974076	101962	26	255
17831437	165250	1	6.05
20291892	358825	1	2.79
21741566	29882	3	100.39
22799846	718572	1	1.39
23655278	65621	1	15.24
24004036	10912	5	458.21
24068882	531442	1	1.88
24225547	24924	2	80.24
24676627	97441	1	10.26
24693223	12094	1	82.69
24719126	160501	3	18.69
24776081	12463	1	80.24
24800621	144404	1	6.93
24854635	75793	2	26.39
25077923	77823	18	231.29
25129848	198625	1	5.03
25131527	483465	12	24.82
25202297	350717	1	2.85
25460167	499351	1	2
25580780	59491	1	16.81
26010656	627357	1	1.59
2853323	122154	1	8.19
4248513	122618	1	8.16
6983075	145000	1	6.9
7365493	80357	1	12.44
7789301	163931	1	6.1
7882578	422569	1	2.37
8583380	420735	3	7.13
8612670	395663	1	2.53
8623829	506874	1	1.97
8712769	369197	1	2.71
9317405	431407	10	23.18
ajb_001_1855_002_278_291_e410	3972	5	1258.81
ajb_001_1855_002_32_57_e337	6552	3	457.88
ajb_001_1860_004_100_122_e190	7158	1	139.7
ajb_001_1866_008_122_128_e281	1940	2	1030.93
ajb_001_1868_009_58_75_e226	5426	1	184.3
ajb_001_1870_010_204_332_e377	40625	2	49.23
apm_001_1826_002_219_230_e470	3341	1	299.31
apm_001_1826_002_35_46_e456	3661	1	273.15
apm_001_1831_007_57_63_e91	796	1	1256.28
apm_001_1832_008_85_96_e243	3613	1	276.78
apm_001_1836_012_44_49_e64	1558	1	641.85
apm_001_1836_012_85_96_e245	3499	1	285.8
apm_001_1838_014_7_21_e287	4682	2	427.17
apm_001_1840_016_41_50_e63	2992	1	334.22
apm_001_1844_020_184_190_e342	2572	2	777.6
apm_001_1847_023_177_179_e386	505	1	1980.2
ass_001_1835_001_64_96_e242	10339	1	96.72
ass_001_1836_002_124_135_e723	3988	1	250.75
ass_001_1836_002_35_66_e584	10651	1	93.89
ass_001_1837_003_260_267_e992	3102	1	322.37
ass_001_1837_003_408_429_e732	7913	1	126.37
ass_001_1837_003_465_474_e973	3836	1	260.69
ass_001_1837_003_73_77_e933	1494	2	1338.69
ass_001_1838_004_255_257_e802	1446	2	1383.13
ass_001_1838_004_265_271_e804	2982	5	1676.73
ass_001_1838_004_357_360_e808	1700	1	588.24
ass_001_1838_004_74_81_e837	3503	3	856.41
ass_001_1839_005_364_371_e559	3337	5	1498.35
ass_001_1840_006_156_163_e628	3049	1	327.98
ass_001_1840_006_163_170_e631	2506	3	1197.13
ass_001_1840_006_454_476_e805	8773	1	113.99
ass_001_1840_006_476_479_e808	1452	4	2754.82
ass_001_1840_006_561_565_e850	1526	1	655.31
ass_001_1841_007_321_332_e677	3456	1	289.35
ass_001_1841_007_373_382_e712	3889	1	257.14
ass_001_1841_007_450_473_e747	8049	10	1242.39
ass_001_1842_008_149_172_e647	9722	1	102.86
ass_001_1842_008_276_288_e710	5788	1	172.77
ass_001_1842_008_2_14_e580	4325	1	231.21
ass_001_1842_008_368_371_e737	1035	2	1932.37
ass_001_1842_008_70_77_e602	2670	9	3370.79
ass_001_1843_009_494_522_e813	8961	2	223.19
ass_001_1843_009_546_559_e819	5230	2	382.41
ass_001_1844_010_365_367_e629	965	1	1036.27
ass_001_1844_010_448_460_e690	5519	6	1087.15
ass_001_1844_010_75_98_e516	9092	29	3189.62
ass_001_1845_011_270_278_e762	3202	1	312.3
ass_001_1845_011_518_532_e877	5305	1	188.5
bmb_001_1852_003_172_176_e404	2124	1	470.81
bmb_001_1855_006_70_72_e281	887	3	3382.19
bmb_001_1857_008_217_232_e388	5363	1	186.46
bmb_001_1861_012_43_49_e257	2759	1	362.45
bmb_001_1862_013_162_164_e379	910	1	1098.9
bsf_001_1863_003_224_225_e146	832	1	1201.92
bsf_001_1863_003_269_271_e176	493	4	8113.59
bsf_001_1864_004_126_127_e81	737	1	1356.85
bsf_001_1864_004_146_151_e97	1856	1	538.79
bsf_001_1864_004_240_241_e146	464	4	8620.69
bsf_001_1864_004_329_331_e201	466	1	2145.92
bsf_001_1864_004_44_45_e29	757	1	1321
bsf_001_1865_005_157_161_e89	1263	3	2375.3
bsf_001_1865_005_316_321_e181	1699	2	1177.16
bsf_001_1865_005_354_359_e204	1749	6	3430.53
bsf_001_1866_006_105_111_e60	2186	1	457.46
bsf_001_1866_006_157_160_e80	953	1	1049.32
bsf_001_1866_006_28_31_e16	1009	6	5946.48
bsf_001_1866_006_317_320_e165	1447	1	691.09
bsf_001_1866_006_378_382_e197	1366	1	732.06
bsf_001_1867_007_335_335_e190	638	6	9404.39
bso_001_1858_001_37_40_e12	4784	1	209.03
bso_001_1858_001_5_8_e4	4455	1	224.47
bso_001_1858_001_85_88_e24	4779	1	209.25
bso_001_1859_002_101_104_e28	4737	3	633.31
bso_001_1860_003_69_72_e20	4940	2	404.86
bso_001_1861_004_201_204_e53	3909	1	255.82
bso_001_1861_004_73_76_e21	3756	1	266.24
bso_001_1862_005_25_28_e9	4566	1	219.01
bso_001_1862_005_57_60_e17	4168	1	239.92
bso_001_1863_006_109_112_e30	4208	1	237.64
bso_001_1863_006_201_204_e53	3893	1	256.87
bso_001_1863_006_81_84_e23	4479	1	223.26
bso_001_1863_006_85_88_e24	4363	1	229.2
bso_001_1864_007_137_140_e37	3985	1	250.94
bso_001_1864_007_169_172_e45	4482	2	446.23
bso_001_1864_007_175_178_e47	4146	7	1688.37
bso_001_1864_007_179_182_e48	4337	9	2075.17
bso_001_1864_007_183_186_e49	2864	6	2094.97
bso_001_1864_007_201_204_e54	4256	3	704.89
bso_001_1865_008_1_4_e3	3763	1	265.75
bso_001_1865_008_69_72_e20	4382	1	228.21
bso_001_1866_009_13_16_e6	3459	2	578.2
bso_001_1867_010_181_184_e48	4254	2	470.15
bso_002_1868_001_165_168_e42	4029	2	496.4
bso_002_1868_001_173_176_e44	3795	1	263.5
bso_002_1868_001_193_196_e49	4155	3	722.02
bso_002_1868_001_29_32_e10	4410	1	226.76
bso_002_1869_002_89_92_e25	4462	1	224.11
bso_002_1870_003_177_182_e47	6620	2	302.11
bso_002_1870_003_17_20_e10	4222	1	236.85
bso_002_1870_003_203_206_e53	2005	1	498.75
bso_002_1870_003_45_48_e17	4402	1	227.17
btb_001_1858_007_81_137_e301	43371	1	23.06
btb_001_1870_019_344_379_e412	23487	1	42.58
dns_002_1806_002_122_141_e594	5260	1	190.11
dsr_003_1800_002_134_136_e770	1762	1	567.54
dsr_003_1800_003_297_298_e935	1875	1	533.33
dsr_003_1800_003_577_578_e1275	1165	1	858.37
gdv_001_1838_008_9_392_e409	52023	1	19.22
gdv_001_1850_005_9_446_e13	37809	1	26.45
gdv_001_1859_014_8_220_e12	36481	2	54.82
skb_002_1842_000_158_201_e311	11425	1	87.53
skb_004_1860_000_323_388_e524	15356	1	65.12
skb_004_1862_000_291_359_e505	16486	2	121.32
skb_004_1864_000_465_540_e664	18049	5	277.02
skb_004_1865_000_52_89_e450	13154	1	76.02
skb_004_1866_000_285_336_e666	17758	5	281.56
skb_004_1867_000_453_496_e666	14412	6	416.32
skb_004_1867_000_631_643_e672	3877	1	257.93
skb_004_1868_000_339_382_e573	14904	7	469.67
skb_004_1868_000_475_479_e576	1308	1	764.53
skb_004_1869_000_291_340_e505	15525	6	386.47
skz_001_1834_003_273_292_e552	18708	1	53.45
skz_001_1838_007_80_87_e93	7239	1	138.14
skz_001_1839_008_398_405_e474	7394	1	135.24
skz_001_1844_013_133_140_e154	6830	1	146.41
skz_001_1845_014_341_348_e377	7064	1	141.56
skz_001_1847_016_194_201_e392	6867	1	145.62
skz_002_1852_005_357_364_e470	7257	1	137.8
skz_003_1853_006_294_301_e469	6942	1	144.05
skz_004_1858_000_189_196_e508	4010	1	249.38
skz_004_1863_000_117_124_e452	8207	1	121.85
skz_004_1863_000_237_244_e467	8560	1	116.82
skz_004_1863_000_421_432_e490	9654	1	103.58
skz_004_1865_000_422_429_e493	7652	1	130.68
skz_004_1866_000_405_412_e500	8799	1	113.65
skz_004_1868_000_38_45_e47	6555	1	152.56
slz_001_1856_001_110_144_e7	13481	2	148.36
slz_001_1856_001_145_178_e8	13734	1	72.81
slz_001_1856_001_179_211_e9	13238	2	151.08
slz_001_1856_001_312_344_e13	11218	2	178.28
slz_001_1856_001_379_413_e15	12077	1	82.8
slz_001_1856_001_43_75_e5	13653	3	219.73
slz_001_1856_001_5_42_e4	17428	5	286.89
slz_001_1857_002_109_140_e7	14411	3	208.17
slz_001_1857_002_141_196_e8	24110	6	248.86
slz_001_1857_002_197_260_e9	27831	3	107.79
slz_001_1857_002_5_44_e4	10831	5	461.64
slz_001_1858_003_241_304_e9	27345	8	292.56
slz_001_1859_004_293_388_e12	40772	3	73.58
slz_001_1860_005_368_403_e10	14836	1	67.4
slz_001_1861_006_109_142_e6	9034	1	110.69
slz_001_1861_006_143_176_e7	9710	1	102.99
slz_001_1861_006_41_74_e4	9728	4	411.18
slz_002_1863_008_172_175_e45	4141	2	482.98
slz_002_1863_008_176_179_e46	4468	1	223.81
slz_002_1863_008_196_199_e51	3849	1	259.81
slz_002_1863_008_49_52_e15	5426	1	184.3
slz_002_1863_008_69_72_e20	5320	1	187.97
slz_002_1864_009_113_116_e31	5036	3	595.71
slz_002_1864_009_165_168_e44	5012	3	598.56
slz_002_1864_009_177_180_e47	4861	3	617.16
slz_002_1864_009_181_184_e48	5078	1	196.93
slz_002_1864_009_193_196_e51	5017	8	1594.58
slz_002_1864_009_209_212_e55	4042	2	494.8
slz_002_1864_009_73_76_e21	4784	1	209.03
slz_002_1865_010_167_174_e24	3624	1	275.94
slz_002_1865_010_342_349_e46	3764	1	265.67
slz_002_1865_010_71_78_e12	3868	2	517.06
slz_002_1866_011_121_128_e18	5704	1	175.32
slz_002_1866_011_153_160_e22	5537	1	180.6
slz_002_1866_011_201_208_e28	5438	1	183.89
slz_002_1866_011_25_32_e6	5743	1	174.13
slz_002_1866_011_265_272_e36	5738	1	174.28
slz_002_1866_011_297_304_e40	5546	3	540.93
slz_002_1866_011_361_368_e48	5677	8	1409.19
slz_002_1866_011_97_104_e15	5795	1	172.56
slz_002_1867_012_113_120_e17	5718	1	174.89
slz_002_1867_012_123_130_e18	5900	1	169.49
slz_002_1867_012_155_162_e22	5763	2	347.04
slz_002_1867_012_211_218_e29	6264	2	319.28
slz_002_1867_012_251_258_e34	5272	1	189.68
slz_002_1867_012_275_282_e37	5743	2	348.25
slz_002_1867_012_291_298_e39	6138	2	325.84
slz_002_1867_012_299_306_e40	5688	1	175.81
