Jahr,Treffer per Mio. Wörter
1800,0.00
1801,0.00
1802,0.00
1803,0.00
1804,0.00
1805,5.49
1806,0.00
1807,16.50
1808,0.00
1809,0.00
1810,0.00
1811,0.00
1812,0.00
1813,0.00
1814,0.00
1815,0.00
1818,8.58
1819,0.00
1820,0.00
1821,0.00
1822,25.18
1824,0.00
1825,0.00
1826,0.00
1827,7.94
1828,0.00
1829,2.98
1830,0.74
1831,4.96
1832,4.75
1833,24.42
1834,6.08
1835,7.98
1836,25.61
1837,46.05
1838,21.73
1839,42.03
1840,28.91
1841,36.16
1842,8.62
1843,14.62
1844,17.04
1845,25.23
1846,9.46
1847,22.23
1848,9.29
1849,42.50
1850,14.45
1851,34.90
1852,9.99
1853,27.34
1854,53.26
1855,52.46
1856,58.01
1857,42.19
1858,69.31
1859,165.05
1860,70.22
1861,97.21
1862,113.52
1863,63.81
1864,174.15
1865,55.22
1866,116.09
1867,76.66
1868,70.96
1869,49.46
1870,54.62
