Keyword list for subcorpus "1835x1870" compared to subcorpus "1800x1834";
using Log Ratio (with 0.01% significance filter, adjusted LL threshold = 43.4);
items must have minimum frequency 3 in list #1 and 3 in list #2.
Showing positively key items only.
__________________

Number	Word	Freq 1	Freq 1 (per mill)	Freq 2	Freq 2 (per mill)	+/-	Stat 1.	Stat 2.

1	1843	2269	37.38	3	0.22	+	7.38	869.56
2	1848	2506	41.29	4	0.30	+	7.11	953.76
3	1859	2211	36.43	4	0.30	+	6.93	837.09
4	1844	2125	35.01	4	0.30	+	6.87	803.1
5	1862	1461	24.07	3	0.22	+	6.75	549.89
6	wät	1346	22.17	3	0.22	+	6.63	504.51
7	1865	1311	21.60	3	0.22	+	6.59	490.71
8	Pfr	6884	113.41	16	1.19	+	6.57	2574.65
9	1849	2525	41.60	6	0.45	+	6.54	943.19
10	1857	2080	34.27	5	0.37	+	6.52	776.46
11	Soeben	1552	25.57	4	0.30	+	6.42	577.05
12	gum	1503	24.76	4	0.30	+	6.37	557.76
13	1867	1470	24.22	4	0.30	+	6.34	544.77
14	1846	1833	30.20	5	0.37	+	6.34	679.2
15	1853	2086	34.37	6	0.45	+	6.26	770.36
16	1854	2048	33.74	6	0.45	+	6.24	755.43
17	unb	37707	621.21	112	8.36	+	6.22	13899.92
18	bie	26905	443.25	85	6.34	+	6.13	9875.64
19	Jnterlaken	1569	25.85	5	0.37	+	6.11	575.45
20	1858	2125	35.01	7	0.52	+	6.07	777.53
21	Ba«	1512	24.91	5	0.37	+	6.06	553.08
22	1869	1163	19.16	4	0.30	+	6	424.19
23	Kt.	2747	45.26	10	0.75	+	5.92	997.6
24	1855	2158	35.55	8	0.60	+	5.9	782.57
25	1850	3770	62.11	14	1.04	+	5.89	1366.97
26	1856	2139	35.24	8	0.60	+	5.88	775.13
27	1851	2274	37.46	9	0.67	+	5.8	820.24
28	1847	1973	32.50	8	0.60	+	5.77	710.2
29	Bem	8357	137.68	34	2.54	+	5.76	3007.48
30	1841	2434	40.10	10	0.75	+	5.75	875.16
31	»or	724	11.93	3	0.22	+	5.74	260.12
32	Sekundär-	720	11.86	3	0.22	+	5.73	258.56
33	1842	2145	35.34	9	0.67	+	5.72	769.83
34	1860	2134	35.16	9	0.67	+	5.71	765.53
35	Staatsbeitrag	931	15.34	4	0.30	+	5.68	333.42
36	bth	887	14.61	4	0.30	+	5.61	316.26
37	1866	1487	24.50	7	0.52	+	5.55	528.03
38	CtS	2719	44.79	13	0.97	+	5.53	964.06
39	Bundesversammlung	832	13.71	4	0.30	+	5.52	294.83
40	Behaart	1010	16.64	5	0.37	+	5.48	356.87
41	Referat	799	13.16	4	0.30	+	5.46	281.99
42	fid	783	12.90	4	0.30	+	5.43	275.77
43	1852	2316	38.16	12	0.90	+	5.41	814.5
44	1868	1332	21.94	7	0.52	+	5.39	467.74
45	amtliches	1139	18.76	6	0.45	+	5.39	399.86
46	türnen	1493	24.60	8	0.60	+	5.36	523.19
47	1864	1479	24.37	8	0.60	+	5.35	517.75
48	Std	1095	18.04	6	0.45	+	5.33	382.78
49	1861	1635	26.94	9	0.67	+	5.33	571.27
50	aud	1259	20.74	7	0.52	+	5.31	439.41
51	mln	496	8.17	3	0.22	+	5.19	171.44
52	Völksschule	5950	98.02	36	2.69	+	5.19	2056.6
53	Anmeldungen	493	8.12	3	0.22	+	5.18	170.28
54	3eit	488	8.04	3	0.22	+	5.17	168.35
55	1838	2924	48.17	18	1.34	+	5.16	1008.55
56	bte	2435	40.12	15	1.12	+	5.16	839.81
57	»on	9877	162.72	62	4.63	+	5.14	3398.9
58	resp.	636	10.48	4	0.30	+	5.13	218.79
59	lehrerstand	474	7.81	3	0.22	+	5.12	162.94
60	Durchschnittlich	1888	31.10	12	0.90	+	5.12	648.66
61	lehrerbildung	469	7.73	3	0.22	+	5.11	161.01
62	Vorlagen	625	10.30	4	0.30	+	5.11	214.55
63	Msgr	468	7.71	3	0.22	+	5.11	160.62
64	1840	2801	46.15	18	1.34	+	5.1	961.03
