Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	URL	Matchbegin corpus position	Matchend corpus position
1	ajb_001_1854_001_287_297_e452	amtlichen , im Amtsblatte enthaltenen Angaben nicht übcrein . Die	Zählung	des Viehstandes vom Jahre 1846 ist insoweit unrichtig , weil	amtlichen_ADJA ,_$, im_APPRART Amtsblatte_NN enthaltenen_ADJA Angaben_NN nicht_PTKNEG übcrein_ADJD ._$. Die_ART	Zählung_NN	des_ART Viehstandes_NN vom_APPRART Jahre_NN 1846_CARD ist_VAFIN insoweit_ADV unrichtig_ADJD ,_$, weil_KOUS	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=0	112113	112113
2	ajb_001_1854_001_287_297_e452	1846 ist insoweit unrichtig , weil in jenem Jahre keine	Zählung	stattfand . Der Verfasser fcheint die im gleichen Jahre in	1846_CARD ist_VAFIN insoweit_ADV unrichtig_ADJD ,_$, weil_KOUS in_APPR jenem_PDAT Jahre_NN keine_PIAT	Zählung_NN	stattfand_VVFIN ._$. Der_ART Verfasser_NN fcheint_VVFIN die_ART im_APPRART gleichen_ADJA Jahre_NN in_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=1	112128	112128
3	bso_002_1870_003_89_92_e26	Heute dürfte Florenz etwa 186,666 Einwohner zählen ( eine offizielle	Zählung	hat seit der Ausdehnung der städtischen Grenzen und dem aus	Heute_ADV dürfte_VMFIN Florenz_NE etwa_ADV 186,666_CARD Einwohner_NN zählen_VVINF (_$( eine_ART offizielle_ADJA	Zählung_NN	hat_VAFIN seit_APPR der_ART Ausdehnung_NN der_ART städtischen_ADJA Grenzen_NN und_KON dem_ART aus_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=2	567655	567655
4	skb_001_1831_000_14_104_e300	immerwährende Woh¬ nungsrecht besaßen und noch besitzen . Die letzte	Zählung	dcr Landfaßen geschah im Jahr 1818 und betrug 2569 Köpfe	immerwährende_ADJA Woh¬_NN nungsrecht_ADV besaßen_VVFIN und_KON noch_ADV besitzen_VVINF ._$. Die_ART letzte_ADJA	Zählung_NN	dcr_NE Landfaßen_NN geschah_VVFIN im_APPRART Jahr_NN 1818_CARD und_KON betrug_VVFIN 2569_CARD Köpfe_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=3	796057	796057
5	skb_001_1831_000_14_104_e300	dcs Innern im Laufe des JahrS 1832 eine zweite genaue	Zählung	veranstalten , allein dicscS Bcgchrcn blieb bisher ohne Erfolg ,	dcs_NE Innern_NN im_APPRART Laufe_NN des_ART JahrS_NN 1832_CARD eine_ART zweite_ADJA genaue_ADJA	Zählung_NN	veranstalten_VVINF ,_$, allein_ADV dicscS_NE Bcgchrcn_NE blieb_VVFIN bisher_ADV ohne_APPR Erfolg_NN ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=4	796096	796096
6	skb_001_1831_000_14_104_e300	Eine runq n , d. Wirth , schaue » .	Zählung	schjtft aus von l«z> . Kopfe . Amtsbezirk Aarberg 20	Eine_ART runq_NE n_VVFIN ,_$, d._ART Wirth_NE ,_$, schaue_VVFIN »_$( ._$.	Zählung_NN	schjtft_VVFIN aus_APPR von_APPR l«z>_NN ._$. Kopfe_NN ._$. Amtsbezirk_NN Aarberg_NN 20_CARD	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=5	799828	799828
7	dsr_003_1800_002_409_412_e1146	, als daß wir , durch hier ganz üderflüßige Her-	zählung	desselben , von Ihrer — nicht der Rüge ftü- herer	,_$, als_KOKOM daß_KOUS wir_PPER ,_$, durch_APPR hier_ADV ganz_ADV üderflüßige_ADJA Her-_TRUNC	zählung_NN	desselben_PDS ,_$, von_APPR Ihrer_PPOSAT —_NN nicht_PTKNEG der_ART Rüge_NN ftü-_NN herer_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=6	873778	873778
8	dns_002_1809_005_119_152_e429	c>S Activbürger waren in Schams und Rhein¬ wald , nach	Zählung	vom Jahr 1799. Schams : Zillis ioo . Andeer ns	c>S_NN Activbürger_NN waren_VAFIN in_APPR Schams_NE und_KON Rhein¬_NE wald_VVFIN ,_$, nach_APPR	Zählung_NN	vom_APPRART Jahr_NN 1799._ADJA Schams_NE :_$. Zillis_NE ioo_NE ._$. Andeer_ADJA ns_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=7	1053360	1053360
9	skz_004_1870_000_363_370_e403	von L. A. Ohorn . ^ Das Gespenst . Et-	zählung	von Julius Uliczny . — Allerlei , Re> bus und	von_APPR L._NE A._APPRART Ohorn_NN ._$. ^_XY Das_ART Gespenst_NN ._$. Et-_TRUNC	zählung_NN	von_APPR Julius_NE Uliczny_NE ._$. —_ADJA Allerlei_NN ,_$, Re>_NN bus_ADJD und_KON	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=8	1133309	1133309
10	slz_001_1856_001_145_178_e8	in der verfassungsmäßig anberaumten Zeit gen Liestal . Bei der	Zählung	der Stimmen zeigte sich , daß die Einsprache des Volkes	in_APPR der_ART verfassungsmäßig_ADJD anberaumten_ADJA Zeit_NN gen_APPR Liestal_NN ._$. Bei_APPR der_ART	Zählung_NN	der_ART Stimmen_NN zeigte_VVFIN sich_PRF ,_$, daß_KOUS die_ART Einsprache_NN des_ART Volkes_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=9	1191828	1191828
11	skb_004_1864_000_15_59_e656	des Kantons , welches den Schluß der Ergebnisse der Volks¬	zählung	von I860 und der vergleichenden Zusammenstellungen derselben und der Ergebnisse	des_ART Kantons_NN ,_$, welches_PRELS den_ART Schluß_NN der_ART Ergebnisse_NN der_ART Volks¬_ADJA	zählung_NN	von_APPR I860_NN und_KON der_ART vergleichenden_ADJA Zusammenstellungen_NN derselben_PDAT und_KON der_ART Ergebnisse_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=10	1782258	1782258
12	skz_004_1859_000_11_16_e17	des Iah- res eine kurze Betrachtung mit einer entsprechenden Er-	zählung	. ^ « Kalender für Zeit und Ewigkeit , von	des_ART Iah-_TRUNC res_VVFIN eine_ART kurze_ADJA Betrachtung_NN mit_APPR einer_ART entsprechenden_ADJA Er-_TRUNC	zählung_NN	._$. ^_XY «_$( Kalender_NN für_APPR Zeit_NN und_KON Ewigkeit_NN ,_$, von_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=11	1858084	1858084
13	skz_002_1850_002_318_325_e466	ten nach der ersten Probezeit entlassen werden . Eine Auf-	zählung	der Taubstummen vom Jahre 1839 wies im Kau- ton 571	ten_NE nach_APPR der_ART ersten_ADJA Probezeit_NN entlassen_VVPP werden_VAINF ._$. Eine_ART Auf-_TRUNC	zählung_NN	der_ART Taubstummen_NN vom_APPRART Jahre_NN 1839_CARD wies_VVFIN im_APPRART Kau-_TRUNC ton_ADJA 571_CARD	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=12	2101638	2101638
14	ass_001_1838_004_352_357_e699	Der Grund und Boden , worin der Inhalt dieser Er¬	zählung	wurzelt , sind einerseits die Krcuzzüge , von denen IV	Der_ART Grund_NN und_KON Boden_NN ,_$, worin_PWAV der_ART Inhalt_NN dieser_PDAT Er¬_ADJA	zählung_NN	wurzelt_VVFIN ,_$, sind_VAFIN einerseits_ADV die_ART Krcuzzüge_NN ,_$, von_APPR denen_PRELS IV_NE	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=13	2148463	2148463
15	bsf_001_1866_006_145_153_e78	habe sich der orientalischen Phantasie eingekleidet , wie die Er-	zählung	von Josua lautet , wollten wir nicht unbedingt so nennen	habe_VAFIN sich_PRF der_ART orientalischen_ADJA Phantasie_NN eingekleidet_VVPP ,_$, wie_KOUS die_ART Er-_TRUNC	zählung_NN	von_APPR Josua_NE lautet_VVFIN ,_$, wollten_VMFIN wir_PPER nicht_PTKNEG unbedingt_ADJD so_ADV nennen_VVINF	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=14	2325008	2325008
16	skb_001_1833_000_241_270_e433	Wettrennen in unferm Kantone gefunden haben . Eine periodisch wiedcrkchrcnde	Zählung	und darauf ge¬ gründete genaue Uebersicht dcö jeweiligen Viehstandes ,	Wettrennen_NN in_APPR unferm_ADJA Kantone_NN gefunden_VVPP haben_VAFIN ._$. Eine_ART periodisch_ADJD wiedcrkchrcnde_ADJA	Zählung_NN	und_KON darauf_PAV ge¬_ADJD gründete_VVFIN genaue_ADJA Uebersicht_NN dcö_NE jeweiligen_ADJA Viehstandes_NN ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=15	2491083	2491083
17	skb_001_1833_000_241_270_e433	um einiger nicht fehr wesentlicher Formfehler willen zu einer nochmaligen	Zählung	aufgefordert wurde . Bern unter- zog sich diefer ihm eben	um_APPR einiger_PIAT nicht_PTKNEG fehr_ADJD wesentlicher_ADJA Formfehler_NN willen_APPO zu_APPR einer_ART nochmaligen_ADJA	Zählung_NN	aufgefordert_VVPP wurde_VAFIN ._$. Bern_NE unter-_TRUNC zog_VVFIN sich_PRF diefer_VVFIN ihm_PPER eben_ADV	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=16	2496255	2496255
18	skz_004_1869_000_432_439_e539	sind : 1 ) Obenan stellen wir eine neue Er-	zählung	der Gräfin Hahn-Hahn . Die- selbe führt nur den anspruchslosen	sind_VAFIN :_$. 1_CARD )_$( Obenan_NE stellen_VVFIN wir_PPER eine_ART neue_ADJA Er-_TRUNC	zählung_NN	der_ART Gräfin_NN Hahn-Hahn_NN ._$. Die-_TRUNC selbe_NE führt_VVFIN nur_ADV den_ART anspruchslosen_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepnhvg9hil&batch=17	2506182	2506182
