Query “[word=".*statist.*"%c]” returned 3,215 matches in 949 different texts (in 74,096,351 words [13,306 texts]; frequency: 43.39 instances per million words).

Showing frequency breakdown of words in this query, at the query node; there are 183 different types and 3,215 tokens at this concordance position.  [0.018 seconds - retrieved from cache]

__________________

No.	Search result	No. of occurrences	Percent

1	Statistik	1129	35.12
2	statistischen	613	19.07
3	statistische	577	17.95
4	Statistisches	110	3.42
5	statistisch	108	3.36
6	statistischer	76	2.36
7	Statistiker	75	2.33
8	statist	70	2.18
9	statistique	35	1.09
10	Schulstatistik	25	0.78
11	Forststatistik	20	0.62
12	statisti	19	0.59
13	Bevölkerungsstatistik	15	0.47
14	Obstbaustatistik	15	0.47
15	Kirchenstatistik	13	0.4
16	Statistikern	13	0.4
17	Criminalstatistik	12	0.37
18	Statistiken	12	0.37
19	statisti-	10	0.31
20	Alpenstatistik	8	0.25
21	statisti¬	8	0.25
22	geographisch-statistisches	6	0.19
23	Militärstatistik	6	0.19
24	bevölkerungsstatistischen	5	0.16
25	Kriminalstatistik	5	0.16
26	Mortalitätsstatistik	5	0.16
27	Statisten	5	0.16
28	statistischem	5	0.16
29	Sterblichkeitsstatistik	5	0.16
30	Armenstatistik	4	0.12
31	geographisch-statistische	4	0.12
32	bevölkerungsstatistische	3	0.09
33	Culturstatistik	3	0.09
34	Forststatistischen	3	0.09
35	historisch-geographisch-statistisch	3	0.09
36	historisch-statistischen	3	0.09
37	Morbilitätsstatistik	3	0.09
38	Obstbaumstatistik	3	0.09
39	Operationsstatistik	3	0.09
40	Schulstatistisches	3	0.09
41	Statistica	3	0.09
42	statistifchen	3	0.09
43	Statistikers	3	0.09
44	Vereinsstatistik	3	0.09
45	Alpcnstatistik	2	0.06
46	Bienenstatistik	2	0.06
47	Biostatistisches	2	0.06
48	brecherstatistik	2	0.06
49	Eisenbahnstatistik	2	0.06
50	forststatistische	2	0.06
51	Generalstatistik	2	0.06
52	geographisch-statistischen	2	0.06
53	Gewerbestatistik	2	0.06
54	Historisch-statistische	2	0.06
55	Kirchen-Statistisches	2	0.06
56	kirchlich-statistisches	2	0.06
57	Krankenstatistik	2	0.06
58	Krankheitsstatistik	2	0.06
59	Landesstatistik	2	0.06
60	rstatistik	2	0.06
61	Schnlstatistik	2	0.06
62	schulstatistischen	2	0.06
63	Statistick	2	0.06
64	statistisch-historische	2	0.06
65	statistisch-historisches	2	0.06
66	Verbrecherstatistik	2	0.06
67	Völkerungsstatistik	2	0.06
68	völkerungsstatistische	2	0.06
69	-Gewerbestatistik	1	0.03
70	-statistischen	1	0.03
71	Agrikulturstatistik	1	0.03
72	agrikulturstatistischcn	1	0.03
73	alpenstatistischcn	1	0.03
74	Alpeustatistik	1	0.03
75	Altersstatistik	1	0.03
76	Ausnahmsstatistik	1	0.03
77	baustatistik	1	0.03
78	Bcvölkcrnngs-Statistik	1	0.03
79	Beccinsstatistik	1	0.03
80	Besoldungsstatistik	1	0.03
81	bevölkerungsstatistiscben	1	0.03
82	Bienenzuchtstatistik	1	0.03
83	Biostatistik	1	0.03
84	Bisthumsstatistik	1	0.03
85	chen-Statistik	1	0.03
86	cherstatistik	1	0.03
87	Cidturstatistik	1	0.03
88	Conjecturalstatistik	1	0.03
89	delsstatistische	1	0.03
90	Ehestatistik	1	0.03
91	erntestatistischer	1	0.03
92	Fabrikstatistik	1	0.03
93	Familien-Statistik	1	0.03
94	Finanzstatistik	1	0.03
95	forftstatistischen	1	0.03
96	forststatistischc	1	0.03
97	General-Statistik	1	0.03
98	geographisch-statistisch	1	0.03
