Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	URL	Matchbegin corpus position	Matchend corpus position
1	bso_002_1870_003_207_210_e54	Geldes erinnert , wird auch wissen , wie unentbehrlich Reduk-	tionstabellen	sind . Außer solchen enthält obiges Schriftchen eine genaue Erklärung	Geldes_NN erinnert_VVFIN ,_$, wird_VAFIN auch_ADV wissen_VVINF ,_$, wie_KOKOM unentbehrlich_ADJD Reduk-_NN	tionstabellen_VVINF	sind_VAFIN ._$. Außer_APPR solchen_PIS enthält_VVFIN obiges_ADJA Schriftchen_NN eine_ART genaue_ADJA Erklärung_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=0	22382	22382
2	skz_001_1846_015_53_62_e63	die in der Brodt- mann'schen Buchhandlung in Schaffhauscn erschienene „	Kirchenstatistik	" einiger Worte , mit der Bemerkung , wenn sie	die_ART in_APPR der_ART Brodt-_TRUNC mann'schen_ADJA Buchhandlung_NN in_APPR Schaffhauscn_NE erschienene_ADJA „_$(	Kirchenstatistik_NN	"_$( einiger_PIAT Worte_NN ,_$, mit_APPR der_ART Bemerkung_NN ,_$, wenn_KOUS sie_PPER	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=1	33054	33054
3	skz_004_1864_000_137_144_e159	umfaßt auf 162 S. eine Masse interessanter bio- graphischer ,	statistischer	, historischer Notizen über die Welt- und Ordensgcistlichkeit , die	umfaßt_VVFIN auf_APPR 162_CARD S._NN eine_ART Masse_NN interessanter_ADJA bio-_TRUNC graphischer_ADJA ,_$,	statistischer_ADJA	,_$, historischer_ADJA Notizen_NN über_APPR die_ART Welt-_TRUNC und_KON Ordensgcistlichkeit_NN ,_$, die_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=2	51577	51577
4	skz_004_1864_000_137_144_e159	überdieß bringt derselbe in einem Anhang die Fortsetzung der „	historisch-statistischen	Beschreibung des Bislhums Chur , " welche den gelehrten ,	überdieß_NN bringt_VVFIN derselbe_PDS in_APPR einem_ART Anhang_NN die_ART Fortsetzung_NN der_ART „_$(	historisch-statistischen_ADJA	Beschreibung_NN des_ART Bislhums_NN Chur_NE ,_$, "_$( welche_PRELS den_ART gelehrten_ADJA ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=3	51610	51610
5	ajb_001_1854_001_287_297_e452	einst durch eine zweite Liederspende erfreuen zu können ! Vollständiges	geographisch-statistisches	Hand¬ lerikon der schweizerischen Eidgenossenschaft von M. Lutz . Neu	einst_ADV durch_APPR eine_ART zweite_ADJA Liederspende_NN erfreuen_VVINF zu_PTKZU können_VMINF !_$. Vollständiges_ADJA	geographisch-statistisches_ADJA	Hand¬_NN lerikon_NN der_ART schweizerischen_ADJA Eidgenossenschaft_NN von_APPR M._NE Lutz_NE ._$. Neu_ADJD	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=4	111805	111805
6	bsf_001_1866_006_317_320_e165	und St. Gallen betreffend Dezember-Räthsel Mittheilungen . Berm Seeland .	Schulstatistisches	. Die Schülerzahl im Winter 1865 auf 1866 betrug in	und_KON St._NE Gallen_NN betreffend_ADJD Dezember-Räthsel_NN Mittheilungen_NN ._$. Berm_NE Seeland_NN ._$.	Schulstatistisches_NN	._$. Die_ART Schülerzahl_NN im_APPRART Winter_NN 1865_CARD auf_APPR 1866_CARD betrug_VVFIN in_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=5	173363	173363
7	bmb_001_1867_018_159_162_e313	1,540,219 . Somit legt von den 38,838 Kantonsbewohnern ( Bevölkerungs¬	tabelle	vom 31. Mai 1866 ) je der s,13te in die	1,540,219_CARD ._$. Somit_ADV legt_VVFIN von_APPR den_ART 38,838_CARD Kantonsbewohnern_NN (_$( Bevölkerungs¬_ADJA	tabelle_NN	vom_APPRART 31._ADJA Mai_NN 1866_CARD )_$( je_APPR der_ART s,13te_NN in_APPR die_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=6	175204	175204
8	bmb_001_1867_018_159_162_e313	14,51 ) „ „ „ 611,408 Ich schließe diese kurzen	statistischen	Notizen mit dem lebhaften Wunsche , es möchten in jeder	14,51_CARD )_$( „_$( „_$( „_$( 611,408_CARD Ich_PPER schließe_VVFIN diese_PDAT kurzen_ADJA	statistischen_ADJA	Notizen_NN mit_APPR dem_ART lebhaften_ADJA Wunsche_NN ,_$, es_PPER möchten_VMFIN in_APPR jeder_PIAT	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=7	175422	175422
9	slz_002_1867_012_171_178_e24	der betreffenden Ortsschulräthe für den Unterricht in der Naturgeschichte die	Wandtabellen	, herausgegeben von P. C. Geißler m Nürnberg , warm	der_ART betreffenden_ADJA Ortsschulräthe_NN für_APPR den_ART Unterricht_NN in_APPR der_ART Naturgeschichte_NN die_ART	Wandtabellen_NN	,_$, herausgegeben_ADJD von_APPR P._NE C._NE Geißler_NE m_NN Nürnberg_NE ,_$, warm_ADJD	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=8	223415	223415
10	ass_001_1844_010_436_441_e683	bis zur Aufsuchung der Kubikwurzel . Somit ' enthält diese	Fvrmelntabelle	weiter nichts , als was schon in jedem elementaren Lehrbuche	bis_APPR zur_APPRART Aufsuchung_NN der_ART Kubikwurzel_NN ._$. Somit_ADV '_$( enthält_VVFIN diese_PDAT	Fvrmelntabelle_NN	weiter_ADV nichts_PIS ,_$, als_KOUS was_PIS schon_ADV in_APPR jedem_PIAT elementaren_ADJA Lehrbuche_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=9	274127	274127
11	ass_001_1844_010_436_441_e683	nöthige Anleitung gegeben ist . I » Beziehung auf diese	Formelntabelle	läßt sich aber Folgendes bemerken : — 431 — s	nöthige_ADJA Anleitung_NN gegeben_VVPP ist_VAFIN ._$. I_NN »_$( Beziehung_NN auf_APPR diese_PDAT	Formelntabelle_NN	läßt_VVFIN sich_PRF aber_ADV Folgendes_NN bemerken_VVINF :_$. —_NN 431_CARD —_ADJA s_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=10	274160	274160
12	ass_001_1844_010_436_441_e683	. Es bedarf kaum der Bemerkung , daß bei dieser	Formelntabelle	die Korrektheit das Haupterforderniß ist . Ob aber der Herausgeber	._$. Es_PPER bedarf_VVFIN kaum_ADV der_ART Bemerkung_NN ,_$, daß_KOUS bei_APPR dieser_PDAT	Formelntabelle_NN	die_ART Korrektheit_NN das_ART Haupterforderniß_NN ist_VAFIN ._$. Ob_KOUS aber_ADV der_ART Herausgeber_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=11	274489	274489
13	ass_001_1844_010_436_441_e683	ves Herausgebers — 432 — Unaufmerksamkeit bei der Korrektur der	Formelntabelle	. Werden in den eine diel höhere Aufmerksamkeit erfordernden Formeln	ves_ADJA Herausgebers_NN —_ADJD 432_CARD —_ADJA Unaufmerksamkeit_NN bei_APPR der_ART Korrektur_NN der_ART	Formelntabelle_NN	._$. Werden_VAFIN in_APPR den_ART eine_ART diel_NN höhere_ADJA Aufmerksamkeit_NN erfordernden_ADJA Formeln_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=12	274549	274549
14	slz_002_1865_010_151_158_e22	, als in irgend einer andern Grafschaft Englands . Die	Zensustabellen	von 1861 zeigen , daß unter der mäßigen Bevölkerung von	,_$, als_KOUS in_APPR irgend_ADV einer_ART andern_ADJA Grafschaft_NN Englands_NN ._$. Die_ART	Zensustabellen_NN	von_APPR 1861_CARD zeigen_VVINF ,_$, daß_KOUS unter_APPR der_ART mäßigen_ADJA Bevölkerung_NN von_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=13	280992	280992
15	slz_002_1866_011_241_248_e33	hasàdk ' Wir entnehmen demselben über . das Erziehungswesen folgende	statistische	Notizen : 1. Pàrschalro . Der ganze Kanton mit seinen	hasàdk_NE '_$( Wir_PPER entnehmen_VVFIN demselben_PDS über_PTKVZ ._$. das_ART Erziehungswesen_NN folgende_ADJA	statistische_ADJA	Notizen_NN :_$. 1._ADJA Pàrschalro_NN ._$. Der_ART ganze_ADJA Kanton_NN mit_APPR seinen_PPOSAT	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=14	408068	408068
16	btb_001_1865_014_278_328_e360	letztern ) . — Ge¬ setz über die Errichtung eines	statistischen	Bureaus ( unter der Leitung der Direktion des Innern )	letztern_NN )_$( ._$. —_ADJA Ge¬_NN setz_VVIMP über_APPR die_ART Errichtung_NN eines_ART	statistischen_ADJA	Bureaus_NN (_$( unter_APPR der_ART Leitung_NN der_ART Direktion_NN des_ART Innern_NN )_$(	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=15	424526	424526
17	btb_001_1865_014_278_328_e360	p eri od en ; Raum zu schaffen für das	statistische	Büreau ; Bericht verlangt über die Brünigstraße ; die staatsrechtlichen	p_VVFIN eri_NE od_ADJA en_FM ;_$. Raum_NN zu_PTKZU schaffen_VVINF für_APPR das_ART	statistische_ADJA	Büreau_NN ;_$. Bericht_NN verlangt_VVPP über_APPR die_ART Brünigstraße_NN ;_$. die_ART staatsrechtlichen_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=16	434420	434420
18	skz_002_1850_002_156_163_e446	t , mehr . >- „ In Verbindung mit den	statistischen	Notizen meines lc Berichtes halte ich es für meine besondere	t_NN ,_$, mehr_ADV ._$. >-_NN „_$( In_APPR Verbindung_NN mit_APPR den_ART	statistischen_ADJA	Notizen_NN meines_PPOSAT lc_NN Berichtes_NN halte_VVFIN ich_PPER es_PPER für_APPR meine_PPOSAT besondere_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=17	458247	458247
19	slz_001_1859_004_293_388_e12	Sprachunterricht ; — das 1. Lesebüchlein soll erweitert und 12	Lese-Wandtabellen	gedruckt werden . Für das 2. und 3. Schuljahr wird	Sprachunterricht_NN ;_$. —_NN das_ART 1._ADJA Lesebüchlein_NN soll_VMFIN erweitert_VVPP und_KON 12_CARD	Lese-Wandtabellen_NN	gedruckt_VVPP werden_VAINF ._$. Für_APPR das_ART 2._ADJA und_KON 3._ADJA Schuljahr_NN wird_VAFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=18	502267	502267
20	slz_001_1859_004_293_388_e12	un- entschuldigte , regelmäßig und in halben Tagen in gedruckte	Schultabellcn	ein- zuzcichncn , und diese Tabellen allmonatlich , mit allfällig	un-_TRUNC entschuldigte_VVFIN ,_$, regelmäßig_ADJD und_KON in_APPR halben_ADJA Tagen_NN in_APPR gedruckte_ADJA	Schultabellcn_NE	ein-_TRUNC zuzcichncn_NE ,_$, und_KON diese_PDAT Tabellen_NN allmonatlich_ADJD ,_$, mit_APPR allfällig_ADJD	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=19	505309	505309
21	sbo_001_1832_000_118_127_e575	zu den anomal . Verben . Schriftliche Uebun¬ gen und	tabellarische	Uebersichten , die von den Schülern gefertigt wurden , erleichterten	zu_APPR den_ART anomal_ADJD ._$. Verben_NN ._$. Schriftliche_ADJA Uebun¬_NN gen_APPR und_KON	tabellarische_ADJA	Uebersichten_NN ,_$, die_PRELS von_APPR den_ART Schülern_NN gefertigt_VVPP wurden_VAFIN ,_$, erleichterten_VVFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=20	556847	556847
22	sbo_001_1832_000_118_127_e575	wur¬ den im Kopfrechnen die zwei letzten Uebungen der Einheits¬	tabelle	durchgenommen ; dann die Negeldetri gelehrt , die gewöhnlichen und	wur¬_VVFIN den_ART im_APPRART Kopfrechnen_NN die_ART zwei_CARD letzten_ADJA Uebungen_NN der_ART Einheits¬_ADJA	tabelle_NN	durchgenommen_VVPP ;_$. dann_ADV die_ART Negeldetri_NE gelehrt_VVPP ,_$, die_ART gewöhnlichen_ADJA und_KON	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=21	558666	558666
23	bmb_001_1851_002_180_182_e391	der helvetischen Tagsatzung im kommenden Herbstmonat vorzulegenden Verfassungsentwurf Geburts- »md	Sterblichkeitsstatistik	aus dem Kreise Samen . 1. Gemeinde Savien-Thal mit ungefähr	der_ART helvetischen_ADJA Tagsatzung_NN im_APPRART kommenden_ADJA Herbstmonat_NN vorzulegenden_ADJA Verfassungsentwurf_NN Geburts-_TRUNC »md_ADJA	Sterblichkeitsstatistik_NN	aus_APPR dem_ART Kreise_NN Samen_NN ._$. 1._ADJA Gemeinde_NN Savien-Thal_NE mit_APPR ungefähr_ADJD	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=22	562670	562670
24	bmb_001_1851_002_180_182_e391	genauer Zahlenaügabe der einzelnen Todesursachen gefälligst einzusenden . Geburts- und	Sterblichkeitsstatistik	aus dem Kreise Savien Werner SchckWlà Samstag , den 11.	genauer_ADJA Zahlenaügabe_NN der_ART einzelnen_ADJA Todesursachen_NN gefälligst_ADJD einzusenden_VVIZU ._$. Geburts-_TRUNC und_KON	Sterblichkeitsstatistik_NN	aus_APPR dem_ART Kreise_NN Savien_NE Werner_NE SchckWlà_ADJA Samstag_NN ,_$, den_ART 11._ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=23	563451	563451
25	skz_004_1866_000_125_134_e144	quem eingerichtet zum Nachschlagen und hat deßhalb einen ungemein großen	statistischen	Werth für die Pfarrei . Diese Arbeit kostete den Seligen	quem_ADJD eingerichtet_VVPP zum_APPRART Nachschlagen_NN und_KON hat_VAFIN deßhalb_ADJD einen_ART ungemein_ADJD großen_ADJA	statistischen_ADJA	Werth_NN für_APPR die_ART Pfarrei_NN ._$. Diese_PDAT Arbeit_NN kostete_VVFIN den_ART Seligen_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=24	587761	587761
26	ass_001_1836_002_246_261_e672	in drei Abtheilungen . Die erste ist eine historische oder	statistische	und ha die Mittel anzugeben , welche bisher in den	in_APPR drei_CARD Abtheilungen_NN ._$. Die_ART erste_ADJA ist_VAFIN eine_ART historische_ADJA oder_KON	statistische_ADJA	und_KON ha_NN die_ART Mittel_NN anzugeben_VVIZU ,_$, welche_PRELS bisher_ADV in_APPR den_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=25	642219	642219
27	ass_001_1836_002_246_261_e672	sind die Zeugnisse zu Handen der Eltern , welche in	tabellarischer	Form monatlich oder vier- ' teljährltch ausgestellt werden , und	sind_VAFIN die_ART Zeugnisse_NN zu_APPR Handen_NN der_ART Eltern_NN ,_$, welche_PRELS in_APPR	tabellarischer_ADJA	Form_NN monatlich_ADJD oder_KON vier-_TRUNC '_$( teljährltch_NN ausgestellt_VVPP werden_VAINF ,_$, und_KON	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hed89oy9x4g&batch=26	642562	642562
