Query “[word=".*tabell.*"%c]” returned 4,833 matches in 1,054 different texts (in 74,096,351 words [13,306 texts]; frequency: 65.23 instances per million words).

Showing frequency breakdown of words in this query, at the query node; there are 458 different types and 4,833 tokens at this concordance position.  [0.018 seconds - retrieved from cache]

__________________

No.	Search result	No. of occurrences	Percent

1	Tabelle	2197	45.46
2	Tabellen	1322	27.35
3	tabellarische	130	2.69
4	tabellenwerk	107	2.21
5	tabellarischen	86	1.78
6	Tabellarisch	38	0.79
7	Wandtabellen	35	0.72
8	tabellarischer	30	0.62
9	Generaltabelle	23	0.48
10	tabellarisches	22	0.46
11	Uebersichtstabellen	20	0.41
12	Tabellenwerke	18	0.37
13	Uebersichtstabelle	16	0.33
14	Reductionstabellen	14	0.29
15	tabellenwerkes	14	0.29
16	Tabellen-	13	0.27
17	Einheitstabelle	12	0.25
18	Schultabellen	12	0.25
19	Jmpftabellen	11	0.23
20	Reductionstabelle	11	0.23
21	Sitabelle	11	0.23
22	Versäumnißtabellen	11	0.23
23	Absenztabellen	8	0.17
24	Zählungstabellen	8	0.17
25	Bevölkerungstabellen	7	0.14
26	Sterblichkeitstabelle	7	0.14
27	Tabellenwcrk	7	0.14
28	Tabellenwerks	7	0.14
29	Tabellen¬	7	0.14
30	Zinstabellen	7	0.14
31	Bevölkerungstabelle	6	0.12
32	Geschichtstabellen	6	0.12
33	Rechnungstabellen	6	0.12
34	Reduktionstabellen	6	0.12
35	Vergleichungstabellen	6	0.12
36	Wandtabellcn	6	0.12
37	Zolltabellen	6	0.12
38	Schultabelle	5	0.1
39	Sprachtabellenwerk	5	0.1
40	Vergleichungstabelle	5	0.1
41	Berechnungstabelle	4	0.08
42	Bruchtabellen	4	0.08
43	Geldtabellen	4	0.08
44	Gesangtabellen	4	0.08
45	Haupttabelle	4	0.08
46	Hülfstabellen	4	0.08
47	Lesetabellen	4	0.08
48	Sprachtabellen	4	0.08
49	Sprachtabellenwerkes	4	0.08
50	tabellar	4	0.08
51	Tabellcnwerk	4	0.08
52	Wechseltabellen	4	0.08
53	Absenzentabellen	3	0.06
54	Berichterstattungstabellen	3	0.06
55	Bruchtabelle	3	0.06
56	Discontotabellen	3	0.06
57	Formelntabelle	3	0.06
58	Interessetabellen	3	0.06
59	Jmpftabelle	3	0.06
60	Kubiktabellen	3	0.06
61	Mortalitätstabelle	3	0.06
62	Rechentabellen	3	0.06
63	Reduktionstabelle	3	0.06
64	Schatzungstabellen	3	0.06
65	Schießtabelle	3	0.06
66	sichtstabelle	3	0.06
67	Speisetabelle	3	0.06
68	Spezialtabellen	3	0.06
69	Stabell	3	0.06
70	Sterbetabellen	3	0.06
71	Sterblichkeitstabellen	3	0.06
