Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	URL	Matchbegin corpus position	Matchend corpus position
1	slz_002_1868_013_209_216_e29	Lebensjahr 265. Von den 10,463 versäumten Schulhalbtagen waren beinahe 10,000	Absenzen	entschuldigt . An fakultativen Fächern wurde Latei« an 19 ,	Lebensjahr_NN 265._ADJA Von_APPR den_ART 10,463_CARD versäumten_ADJA Schulhalbtagen_NN waren_VAFIN beinahe_ADV 10,000_CARD	Absenzen_NN	entschuldigt_VVPP ._$. An_APPR fakultativen_ADJA Fächern_NN wurde_VAFIN Latei«_NN an_APPR 19_CARD ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=0	8462	8462
2	bsf_001_1866_006_317_320_e165	Schülerzahl ungefähr die gleiche geblieben . — 318 - Entschuldigte	Absenzen	kamen im Wintersemester vor 185.908 Halbtags also cirka 10 auf	Schülerzahl_NN ungefähr_ADJD die_ART gleiche_ADJA geblieben_VVPP ._$. —_NN 318_CARD -_$( Entschuldigte_NN	Absenzen_NN	kamen_VVFIN im_APPRART Wintersemester_NN vor_APPR 185.908_CARD Halbtags_NN also_ADV cirka_NN 10_CARD auf_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=1	173451	173451
3	vsb_001_1860_007_208_210_e171	Erziehung sdepartrments dieselben darauf aufmerksam gemacht , namentlich auch den	Absenzen	entgegenzuwirken . An der Jnspektorenkonferenz nahmen 22 Inspektoren Theil .	Erziehung_NN sdepartrments_VVFIN dieselben_PDS darauf_PAV aufmerksam_ADJD gemacht_VVPP ,_$, namentlich_ADJD auch_ADV den_ART	Absenzen_NN	entgegenzuwirken_VVIZU ._$. An_APPR der_ART Jnspektorenkonferenz_NN nahmen_VVFIN 22_CARD Inspektoren_NN Theil_NN ._$.	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=2	333325	333325
4	slz_001_1859_004_293_388_e12	sie in eine Alltag- und eine Rcpctirschule zerfällt und dem	Absenzenunfug	zu sehr unterworfen ist . Die Alltagschule dauert bis zum	sie_PPER in_APPR eine_ART Alltag-_TRUNC und_KON eine_ART Rcpctirschule_NN zerfällt_VVFIN und_KON dem_ART	Absenzenunfug_NN	zu_APPR sehr_ADV unterworfen_VVPP ist_VAFIN ._$. Die_ART Alltagschule_NN dauert_VVFIN bis_KON zum_APPRART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=3	506351	506351
5	slz_001_1859_004_293_388_e12	großen Schwierigkeiten der Schul- führung gehört . Verordnungen betreffend die	Absenzen	. Gegen diesen Uebclstand ent- wickelte die Erziehungsbchörde eine erfreuliche	großen_ADJA Schwierigkeiten_NN der_ART Schul-_TRUNC führung_NN gehört_VVFIN ._$. Verordnungen_NN betreffend_ADJD die_ART	Absenzen_NN	._$. Gegen_APPR diesen_PDAT Uebclstand_NN ent-_TRUNC wickelte_VVFIN die_ART Erziehungsbchörde_NN eine_ART erfreuliche_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=4	533655	533655
6	slz_001_1859_004_293_388_e12	der Hand . Hier sollte der weite Schulweg die vielen	Absenzen	entschuldigen , dort an der kleinen Zwergschule war die Lehrerbesoldung	der_ART Hand_NN ._$. Hier_ADV sollte_VMFIN der_ART weite_ADJA Schulweg_NN die_ART vielen_PIAT	Absenzen_NN	entschuldigen_VVINF ,_$, dort_ADV an_APPR der_ART kleinen_ADJA Zwergschule_NN war_VAFIN die_ART Lehrerbesoldung_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=5	534114	534114
7	apm_001_1826_002_219_230_e470	) Mathias Oertle von Teufen , soll a ) wegen	Versäumniß	der Kirche und des Abendmahls ; 6 ) BeiwohnenS sektirerischcn	)_$( Mathias_NE Oertle_NE von_APPR Teufen_NN ,_$, soll_VMFIN a_FM )_$( wegen_APPR	Versäumniß_NN	der_ART Kirche_NN und_KON des_ART Abendmahls_NN ;_$. 6_CARD )_$( BeiwohnenS_NN sektirerischcn_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=6	628977	628977
8	syn_001_1864_000_54_81_e276	nicht erst aus der ziemlich kleinen Zahl nicht gehörig entschuldigter	Absenzen	, deren Größe natürlich allzusehr von dem subjektiven Urtheil der	nicht_PTKNEG erst_ADV aus_APPR der_ART ziemlich_ADV kleinen_ADJA Zahl_NN nicht_PTKNEG gehörig_ADJD entschuldigter_ADJA	Absenzen_NN	,_$, deren_PRELAT Größe_NN natürlich_ADV allzusehr_ADJD von_APPR dem_ART subjektiven_ADJA Urtheil_NN der_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=7	682201	682201
9	syn_001_1864_000_54_81_e276	ab¬ hängig ist , sondern auch aus der Gesammtzahl aller	Absenzen	, daß der Besuch der Kapitel auch dieß Jahr wieder	ab¬_VVFIN hängig_ADJD ist_VAFIN ,_$, sondern_KON auch_ADV aus_APPR der_ART Gesammtzahl_NN aller_PIAT	Absenzen_NN	,_$, daß_KOUS der_ART Besuch_NN der_ART Kapitel_NN auch_ADV dieß_ADJA Jahr_NN wieder_ADV	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=8	682223	682223
10	syn_001_1864_000_54_81_e276	die Hälfte der sämmtlichen Lehrer weder entschuldigte noch unentschuldigt ?	Absenzen	gemacht hat . Dazu kommt , daß die Ver¬ sammlungsorte	die_ART Hälfte_NN der_ART sämmtlichen_ADJA Lehrer_NN weder_KON entschuldigte_VVFIN noch_ADV unentschuldigt_ADJD ?_$.	Absenzen_NN	gemacht_VVPP hat_VAFIN ._$. Dazu_PAV kommt_VVFIN ,_$, daß_KOUS die_ART Ver¬_ADJA sammlungsorte_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hempt636ouw&batch=9	682253	682253
